"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BARRANCA (000)",39073,473,13106,11840,4736,1869,863,239,30,,5917
"Catolica (001)",31874,367,10556,9614,3985,1570,713,182,28,,4859
"Cristiana / Evangelica (002)",5797,92,2087,1801,596,236,116,55,2,,812
"Otra (003)",752,5,198,247,98,45,28,2,,,129
"Ninguna (004)",650,9,265,178,57,18,6,,,,117
,,,,,,,,,,,
"URBANA (006)",33856,375,10896,10175,4295,1696,800,216,28,,5375
"Catolica (007)",27836,293,8815,8359,3636,1433,662,170,26,,4442
"Cristiana / Evangelica (008)",4753,71,1663,1439,516,202,106,44,2,,710
"Otra (009)",698,5,178,227,91,45,27,2,,,123
"Ninguna (010)",569,6,240,150,52,16,5,,,,100
,,,,,,,,,,,
"RURAL (012)",5217,98,2210,1665,441,173,63,23,2,,542
"Catolica (013)",4038,74,1741,1255,349,137,51,12,2,,417
"Cristiana / Evangelica (014)",1044,21,424,362,80,34,10,11,,,102
"Otra (015)",54,,20,20,7,,1,,,,6
"Ninguna (016)",81,3,25,28,5,2,1,,,,17
