"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ICA (000)",251494,31081,51519,51731,41902,30792,44469
"Católica (001)",223373,27685,45035,45654,37346,27532,40121
"Cristiana/Evangélica (002)",18208,2250,3912,3827,2975,2233,3011
"Otra (003)",5305,629,1109,1062,926,660,919
"Ninguna (004)",4608,517,1463,1188,655,367,418
"Hombres (006)",121615,15586,25431,25166,19721,14473,21238
"Católica (007)",107964,13951,22130,22069,17533,13006,19275
"Cristiana/Evangélica (008)",8222,1029,1852,1803,1300,943,1295
"Otra (009)",2492,300,546,535,444,283,384
"Ninguna (010)",2937,306,903,759,444,241,284
"Mujeres (012)",129879,15495,26088,26565,22181,16319,23231
"Católica (013)",115409,13734,22905,23585,19813,14526,20846
"Cristiana/Evangélica (014)",9986,1221,2060,2024,1675,1290,1716
"Otra (015)",2813,329,563,527,482,377,535
"Ninguna (016)",1671,211,560,429,211,126,134
,,,,,,,
"URBANA (018)",229845,28580,47044,47148,38531,28343,40199
"Católica (019)",203518,25324,40998,41494,34252,25280,36170
"Cristiana/Evangélica (020)",16895,2151,3618,3517,2776,2073,2760
"Otra (021)",5121,618,1068,1022,890,641,882
"Ninguna (022)",4311,487,1360,1115,613,349,387
"Hombres (024)",110499,14300,23138,22743,18057,13232,19029
"Católica (025)",97744,12732,20053,19875,16000,11856,17228
"Cristiana/Evangélica (026)",7600,983,1711,1644,1212,873,1177
"Otra (027)",2393,296,530,509,424,273,361
"Ninguna (028)",2762,289,844,715,421,230,263
"Mujeres (030)",119346,14280,23906,24405,20474,15111,21170
"Católica (031)",105774,12592,20945,21619,18252,13424,18942
"Cristiana/Evangélica (032)",9295,1168,1907,1873,1564,1200,1583
"Otra (033)",2728,322,538,513,466,368,521
"Ninguna (034)",1549,198,516,400,192,119,124
,,,,,,,
"RURAL (036)",21649,2501,4475,4583,3371,2449,4270
"Católica (037)",19855,2361,4037,4160,3094,2252,3951
"Cristiana/Evangélica (038)",1313,99,294,310,199,160,251
"Otra (039)",184,11,41,40,36,19,37
"Ninguna (040)",297,30,103,73,42,18,31
"Hombres (042)",11116,1286,2293,2423,1664,1241,2209
"Católica (043)",10220,1219,2077,2194,1533,1150,2047
"Cristiana/Evangélica (044)",622,46,141,159,88,70,118
"Otra (045)",99,4,16,26,20,10,23
"Ninguna (046)",175,17,59,44,23,11,21
"Mujeres (048)",10533,1215,2182,2160,1707,1208,2061
"Católica (049)",9635,1142,1960,1966,1561,1102,1904
"Cristiana/Evangélica (050)",691,53,153,151,111,90,133
"Otra (051)",85,7,25,14,16,9,14
"Ninguna (052)",122,13,44,29,19,7,10
