"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CAJAMARCA",,,,,,,,,
"Viviendas particulares (001)",4328,1669,795,409,689,104,94,135,433
"Ocupantes presentes (002)",19381,7183,3762,1891,3100,508,444,581,1912
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4040,1613,719,381,622,94,86,126,399
"Ocupantes presentes (005)",18281,6966,3452,1746,2864,479,409,549,1816
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",96,12,19,12,24,2,4,8,15
"Ocupantes presentes (008)",328,30,66,46,87,5,16,27,51
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",126,29,37,11,27,4,3,1,14
"Ocupantes presentes (011)",487,108,138,79,102,11,13,5,31
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",45,10,9,4,15,3,1,,3
"Ocupantes presentes (014)",185,50,59,12,43,10,6,,5
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",11,1,8,1,,,,,1
"Ocupantes presentes (017)",39,2,23,8,,,,,6
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",5,4,,,,,,,1
"Ocupantes presentes (020)",30,27,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",5,,3,,1,1,,,
"Ocupantes presentes (023)",31,,24,,4,3,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2043,584,418,275,407,86,73,40,160
"Ocupantes presentes (029)",9511,2543,2142,1335,1863,429,342,172,685
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1766,529,350,248,340,76,65,31,127
"Ocupantes presentes (032)",8450,2328,1855,1198,1627,400,307,140,595
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",96,12,19,12,24,2,4,8,15
"Ocupantes presentes (035)",328,30,66,46,87,5,16,27,51
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",126,29,37,11,27,4,3,1,14
"Ocupantes presentes (038)",487,108,138,79,102,11,13,5,31
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",45,10,9,4,15,3,1,,3
"Ocupantes presentes (041)",185,50,59,12,43,10,6,,5
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",5,4,,,,,,,1
"Ocupantes presentes (047)",30,27,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,,3,,1,1,,,
"Ocupantes presentes (050)",31,,24,,4,3,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2285,1085,377,134,282,18,21,95,273
"Ocupantes presentes (056)",9870,4640,1620,556,1237,79,102,409,1227
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2274,1084,369,133,282,18,21,95,272
"Ocupantes presentes (059)",9831,4638,1597,548,1237,79,102,409,1221
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",11,1,8,1,,,,,1
"Ocupantes presentes (071)",39,2,23,8,,,,,6
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
