"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ZARUMILLA (000)",10677,119,4225,3219,973,345,161,39,3,,1593
"Sin Nivel (001)",497,22,216,128,29,14,11,4,1,,72
"Educación Inicial (002)",16,1,4,5,1,,,,,,5
"Primaria (003)",3820,60,1802,1059,268,114,71,21,1,,424
"Secundaria (004)",4311,30,1835,1338,346,108,47,11,,,596
"Sup. no Univ. Incompleta (005)",544,2,155,192,62,15,3,,,,115
"Sup. no Univ. Completa (006)",850,3,125,313,157,47,15,2,1,,187
"Sup. Univ. Incompleta (007)",235,1,50,67,31,7,5,,,,74
"Sup. Univ. Completa (008)",404,,38,117,79,40,9,1,,,120
,,,,,,,,,,,
"URBANA (010)",9761,104,3815,2946,919,323,153,37,3,,1461
"Sin Nivel (011)",403,20,175,100,21,11,9,4,1,,62
"Educación Inicial (012)",16,1,4,5,1,,,,,,5
"Primaria (013)",3416,53,1607,937,250,104,67,19,1,,378
"Secundaria (014)",4018,25,1689,1252,335,103,46,11,,,557
"Sup. no Univ. Incompleta (015)",501,2,140,179,59,14,3,,,,104
"Sup. no Univ. Completa (016)",786,2,115,293,145,45,14,2,1,,169
"Sup. Univ. Incompleta (017)",227,1,48,65,30,7,5,,,,71
"Sup. Univ. Completa (018)",394,,37,115,78,39,9,1,,,115
,,,,,,,,,,,
"RURAL (020)",916,15,410,273,54,22,8,2,,,132
"Sin Nivel (021)",94,2,41,28,8,3,2,,,,10
"Primaria (023)",404,7,195,122,18,10,4,2,,,46
"Secundaria (024)",293,5,146,86,11,5,1,,,,39
"Sup. no Univ. Incompleta (025)",43,,15,13,3,1,,,,,11
"Sup. no Univ. Completa (026)",64,1,10,20,12,2,1,,,,18
"Sup. Univ. Incompleta (027)",8,,2,2,1,,,,,,3
"Sup. Univ. Completa (028)",10,,1,2,1,1,,,,,5
