"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MARISCAL CACERES (000)",29508,27564,1944
"Hombres (001)",15927,15003,924
"Mujeres (002)",13581,12561,1020
"De 18 a 29 años (003)",9946,8846,1100
"Hombres (004)",5245,4643,602
"Mujeres (005)",4701,4203,498
"De 30 a 44 años (006)",10432,10127,305
"Hombres (007)",5699,5557,142
"Mujeres (008)",4733,4570,163
"De 45 a 64 años (009)",6833,6600,233
"Hombres (010)",3841,3742,99
"Mujeres (011)",2992,2858,134
"De 65 y más años (012)",2297,1991,306
"Hombres (013)",1142,1061,81
"Mujeres (014)",1155,930,225
,,,
"URBANA (015)",18918,17908,1010
"Hombres (016)",9700,9237,463
"Mujeres (017)",9218,8671,547
"De 18 a 29 años (018)",6168,5569,599
"Hombres (019)",3133,2814,319
"Mujeres (020)",3035,2755,280
"De 30 a 44 años (021)",6640,6509,131
"Hombres (022)",3408,3342,66
"Mujeres (023)",3232,3167,65
"De 45 a 64 años (024)",4511,4413,98
"Hombres (025)",2406,2371,35
"Mujeres (026)",2105,2042,63
"De 65 y más años (027)",1599,1417,182
"Hombres (028)",753,710,43
"Mujeres (029)",846,707,139
,,,
"RURAL (030)",10590,9656,934
"Hombres (031)",6227,5766,461
"Mujeres (032)",4363,3890,473
"De 18 a 29 años (033)",3778,3277,501
"Hombres (034)",2112,1829,283
"Mujeres (035)",1666,1448,218
"De 30 a 44 años (036)",3792,3618,174
"Hombres (037)",2291,2215,76
"Mujeres (038)",1501,1403,98
"De 45 a 64 años (039)",2322,2187,135
"Hombres (040)",1435,1371,64
"Mujeres (041)",887,816,71
"De 65 y más años (042)",698,574,124
"Hombres (043)",389,351,38
"Mujeres (044)",309,223,86
