"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AZANGARO (000)",34863,33156,202,5833,5873,5184,8277,5131,2138,518,1707,126131
"De 12 a 14 años (001)",39,15,1,13,1,,,,,,24,15
"De 15 a 19 años (002)",697,595,17,501,66,8,3,,,,102,669
"De 20 a 24 años (003)",3217,2602,29,1643,723,158,45,4,,,615,3779
"De 25 a 29 años (004)",4006,3553,24,1208,1215,686,405,12,3,,453,7510
"De 30 a 34 años (005)",3849,3655,13,654,1066,882,846,166,24,4,194,10375
"De 35 a 39 años (006)",3935,3810,18,403,760,846,1179,489,105,10,125,13742
"De 40 a 44 años (007)",3390,3331,8,269,470,603,1072,613,237,59,59,14276
"De 45 a 49 años (008)",3106,3072,10,198,324,429,979,720,327,85,34,14791
"De 50 y más años (009)",12624,12523,82,944,1248,1572,3748,3127,1442,360,101,60974
"PEA (010)",13403,12658,85,2267,2286,2048,3111,1884,793,184,745,47484
"De 12 a 14 años (011)",7,5,1,4,,,,,,,2,4
"De 15 a 19 años (012)",200,172,8,142,18,3,1,,,,28,191
"De 20 a 24 años (013)",1173,925,10,575,270,53,17,,,,248,1348
"De 25 a 29 años (014)",1603,1379,9,509,416,273,165,6,1,,224,2903
"De 30 a 34 años (015)",1623,1519,7,280,463,345,341,69,13,1,104,4268
"De 35 a 39 años (016)",1728,1668,7,213,334,368,503,192,47,4,60,5855
"De 40 a 44 años (017)",1539,1505,6,145,221,308,450,260,92,23,34,6173
"De 45 a 49 años (018)",1338,1324,4,101,142,189,401,317,135,35,14,6298
"De 50 y más años (019)",4192,4161,33,298,422,509,1233,1040,505,121,31,20444
"Ocupada (020)",12887,12264,79,2123,2188,2002,3049,1858,783,182,623,46455
