"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CORONGO (000)",3695,3084,611
"De 3 a 5 años (001)",531,47,484
"De 6 a 11 años (002)",1106,1018,88
"De 12 a 16 años (003)",1052,1044,8
"De 17 a 24 años (004)",1006,975,31
"Hombres (005)",1934,1623,311
"De 3 a 5 años (006)",276,25,251
"De 6 a 11 años (007)",561,515,46
"De 12 a 16 años (008)",551,547,4
"De 17 a 24 años (009)",546,536,10
"Mujeres (010)",1761,1461,300
"De 3 a 5 años (011)",255,22,233
"De 6 a 11 años (012)",545,503,42
"De 12 a 16 años (013)",501,497,4
"De 17 a 24 años (014)",460,439,21
,,,
"URBANA (015)",1632,1379,253
"De 3 a 5 años (016)",221,22,199
"De 6 a 11 años (017)",487,447,40
"De 12 a 16 años (018)",473,470,3
"De 17 a 24 años (019)",451,440,11
"Hombres (020)",867,735,132
"De 3 a 5 años (021)",118,13,105
"De 6 a 11 años (022)",255,233,22
"De 12 a 16 años (023)",252,251,1
"De 17 a 24 años (024)",242,238,4
"Mujeres (025)",765,644,121
"De 3 a 5 años (026)",103,9,94
"De 6 a 11 años (027)",232,214,18
"De 12 a 16 años (028)",221,219,2
"De 17 a 24 años (029)",209,202,7
,,,
"RURAL (030)",2063,1705,358
"De 3 a 5 años (031)",310,25,285
"De 6 a 11 años (032)",619,571,48
"De 12 a 16 años (033)",579,574,5
"De 17 a 24 años (034)",555,535,20
"Hombres (035)",1067,888,179
"De 3 a 5 años (036)",158,12,146
"De 6 a 11 años (037)",306,282,24
"De 12 a 16 años (038)",299,296,3
"De 17 a 24 años (039)",304,298,6
"Mujeres (040)",996,817,179
"De 3 a 5 años (041)",152,13,139
"De 6 a 11 años (042)",313,289,24
"De 12 a 16 años (043)",280,278,2
"De 17 a 24 años (044)",251,237,14
