"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN IGNACIO (000)",130377,19777,110600
"Casa independiente (001)",126300,18070,108230
"Departamento en edificio (002)",89,89,
"Vivienda en quinta (003)",663,663,
"Vivienda en casa de vecindad (004)",895,895,
"Choza o cabaña (005)",2314,,2314
"Vivienda improvisada (006)",31,31,
"Local no dest.para hab. humana (007)",72,25,47
"Otro tipo (008)",13,4,9
