"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BONGARA (000)",10293,231,3456,3567,2345,694
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",42,,13,20,8,1
"Profes., científicos e intelectuales (002)",546,,91,320,131,4
"Técnicos de nivel medio y trab.asimilados (003)",201,,85,83,32,1
"Jefes y empleados de oficina (004)",161,,57,71,33,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",969,10,261,398,238,62
"Agricult.trabaj. calif. agrop. y pesqueros (006)",3898,32,936,1338,1142,450
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",355,6,116,141,77,15
"Obreros construc., conf., papel, fab., instr. (008)",672,1,240,277,141,13
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2815,166,1399,698,441,111
"Otra (010)",75,,16,46,13,
"Ocupación no especificada (011)",303,1,110,103,59,30
"Desocupado (012)",256,15,132,72,30,7
"Hombres (013)",7692,183,2669,2581,1739,520
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",29,,7,14,7,1
"Profes., científicos e intelectuales (015)",265,,32,152,77,4
"Técnicos de nivel medio y trab.asimilados (016)",140,,58,56,25,1
"Jefes y empleados de oficina (017)",90,,21,42,27,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",427,5,124,157,111,30
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3522,29,870,1220,1016,387
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",292,5,103,114,58,12
"Obreros construc., conf., papel, fab., instr. (021)",665,1,237,274,140,13
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1892,132,1054,422,226,58
"Otra (023)",72,,14,45,13,
"Ocupación no especificada (024)",111,1,53,32,16,9
"Desocupado (025)",187,10,96,53,23,5
"Mujeres (026)",2601,48,787,986,606,174
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,,6,6,1,
"Profes., científicos e intelectuales (028)",281,,59,168,54,
"Técnicos de nivel medio y trab.asimilados (029)",61,,27,27,7,
"Jefes y empleados de oficina (030)",71,,36,29,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",542,5,137,241,127,32
"Agricult.trabaj. calif. agrop. y pesqueros (032)",376,3,66,118,126,63
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",63,1,13,27,19,3
"Obreros construc., conf., papel, fab., instr. (034)",7,,3,3,1,
