"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHACHAPOYAS (000)",18734,4705,2356,8254,467,2269,683
"Conviviente (001)",4683,1088,747,2268,128,328,124
"Separado(a) (002)",441,115,45,206,9,21,45
"Casado(a) (003)",7370,1888,649,3780,221,691,141
"Viudo(a) (004)",586,34,40,431,21,38,22
"Divorciado(a) (005)",70,31,6,22,6,1,4
"Soltero(a) (006)",5584,1549,869,1547,82,1190,347
"Hombres (008)",12162,2470,2039,6070,363,1200,20
"Conviviente (009)",3275,638,658,1767,109,97,6
"Separado(a) (010)",145,26,33,78,2,6,
"Casado(a) (011)",4991,1081,560,3009,178,161,2
"Viudo(a) (012)",194,9,16,155,6,8,
"Divorciado(a) (013)",31,12,5,9,4,1,
"Soltero(a) (014)",3526,704,767,1052,64,927,12
"Mujeres (016)",6572,2235,317,2184,104,1069,663
"Conviviente (017)",1408,450,89,501,19,231,118
"Separado(a) (018)",296,89,12,128,7,15,45
"Casado(a) (019)",2379,807,89,771,43,530,139
"Viudo(a) (020)",392,25,24,276,15,30,22
"Divorciado(a) (021)",39,19,1,13,2,,4
"Soltero(a) (022)",2058,845,102,495,18,263,335
,,,,,,,
"URBANA (024)",12970,4473,1623,4890,384,1018,582
"Conviviente (025)",3186,1009,517,1308,105,153,94
"Separado(a) (026)",363,112,37,148,8,14,44
"Casado(a) (027)",5162,1798,469,2230,184,366,115
"Viudo(a) (028)",349,33,27,241,16,14,18
"Divorciado(a) (029)",58,30,4,15,5,,4
"Soltero(a) (030)",3852,1491,569,948,66,471,307
"Hombres (032)",7780,2347,1415,3253,294,454,17
"Conviviente (033)",2130,599,475,926,89,36,5
"Separado(a) (034)",96,25,26,42,2,1,
"Casado(a) (035)",3263,1029,403,1622,143,65,1
"Viudo(a) (036)",95,8,12,69,3,3,
"Divorciado(a) (037)",24,11,4,6,3,,
"Soltero(a) (038)",2172,675,495,588,54,349,11
"Mujeres (040)",5190,2126,208,1637,90,564,565
"Conviviente (041)",1056,410,42,382,16,117,89
"Separado(a) (042)",267,87,11,106,6,13,44
"Casado(a) (043)",1899,769,66,608,41,301,114
"Viudo(a) (044)",254,25,15,172,13,11,18
"Divorciado(a) (045)",34,19,,9,2,,4
"Soltero(a) (046)",1680,816,74,360,12,122,296
,,,,,,,
"RURAL (048)",5764,232,733,3364,83,1251,101
"Conviviente (049)",1497,79,230,960,23,175,30
"Separado(a) (050)",78,3,8,58,1,7,1
"Casado(a) (051)",2208,90,180,1550,37,325,26
"Viudo(a) (052)",237,1,13,190,5,24,4
"Divorciado(a) (053)",12,1,2,7,1,1,
"Soltero(a) (054)",1732,58,300,599,16,719,40
"Hombres (056)",4382,123,624,2817,69,746,3
"Conviviente (057)",1145,39,183,841,20,61,1
"Separado(a) (058)",49,1,7,36,,5,
"Casado(a) (059)",1728,52,157,1387,35,96,1
"Viudo(a) (060)",99,1,4,86,3,5,
"Divorciado(a) (061)",7,1,1,3,1,1,
"Soltero(a) (062)",1354,29,272,464,10,578,1
"Mujeres (064)",1382,109,109,547,14,505,98
"Conviviente (065)",352,40,47,119,3,114,29
"Separado(a) (066)",29,2,1,22,1,2,1
"Casado(a) (067)",480,38,23,163,2,229,25
"Viudo(a) (068)",138,,9,104,2,19,4
"Divorciado(a) (069)",5,,1,4,,,
"Soltero(a) (070)",378,29,28,135,6,141,39
