"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ANTABAMBA (000)",4034,502,1194,1303,14,999,22
"Sin nivel (001)",598,4,145,208,2,236,3
"Educación inicial (002)",4,,,2,,2,
"Primaria (003)",1412,7,437,543,2,413,10
"Secundaria (004)",1307,63,516,411,6,306,5
"Superior no univ. incompleta (005)",156,34,44,57,1,18,2
"Superior no univ. completa (006)",220,144,24,36,2,13,1
"Superior univ. incompleta (007)",78,40,15,15,,8,
"Superior univ. completa (008)",259,210,13,31,1,3,1
"Hombres (010)",2623,331,852,905,13,520,2
"Sin nivel (011)",207,3,46,94,2,62,
"Educación inicial (012)",2,,,2,,,
"Primaria (013)",947,4,313,407,1,221,1
"Secundaria (014)",980,51,411,305,6,207,
"Superior no univ. incompleta (015)",110,26,33,38,1,12,
"Superior no univ. completa (016)",147,87,22,27,2,8,1
"Superior univ. incompleta (017)",61,30,14,10,,7,
"Superior univ. completa (018)",169,130,13,22,1,3,
"Mujeres (020)",1411,171,342,398,1,479,20
"Sin nivel (021)",391,1,99,114,,174,3
"Educación inicial (022)",2,,,,,2,
"Primaria (023)",465,3,124,136,1,192,9
"Secundaria (024)",327,12,105,106,,99,5
"Superior no univ. incompleta (025)",46,8,11,19,,6,2
"Superior no univ. completa (026)",73,57,2,9,,5,
"Superior univ. incompleta (027)",17,10,1,5,,1,
"Superior univ. completa (028)",90,80,,9,,,1
,,,,,,,
"URBANA (030)",2593,450,896,723,8,497,19
"Sin nivel (031)",251,4,100,68,1,75,3
"Educación inicial (032)",2,,,1,,1,
"Primaria (033)",760,7,309,249,1,185,9
"Secundaria (034)",964,55,413,286,3,203,4
"Superior no univ. incompleta (035)",127,30,37,48,,10,2
"Superior no univ. completa (036)",190,126,16,32,2,13,1
"Superior univ. incompleta (037)",66,37,10,11,,8,
"Superior univ. completa (038)",233,191,11,28,1,2,
"Hombres (040)",1616,289,597,467,7,254,2
"Sin nivel (041)",59,3,21,17,1,17,
"Educación inicial (042)",1,,,1,,,
"Primaria (043)",451,4,200,166,,80,1
"Secundaria (044)",696,45,314,200,3,134,
"Superior no univ. incompleta (045)",88,22,28,32,,6,
"Superior no univ. completa (046)",122,72,14,25,2,8,1
"Superior univ. incompleta (047)",50,27,9,7,,7,
"Superior univ. completa (048)",149,116,11,19,1,2,
"Mujeres (050)",977,161,299,256,1,243,17
"Sin nivel (051)",192,1,79,51,,58,3
"Educación inicial (052)",1,,,,,1,
"Primaria (053)",309,3,109,83,1,105,8
"Secundaria (054)",268,10,99,86,,69,4
"Superior no univ. incompleta (055)",39,8,9,16,,4,2
"Superior no univ. completa (056)",68,54,2,7,,5,
"Superior univ. incompleta (057)",16,10,1,4,,1,
"Superior univ. completa (058)",84,75,,9,,,
,,,,,,,
"RURAL (060)",1441,52,298,580,6,502,3
"Sin nivel (061)",347,,45,140,1,161,
"Educación inicial (062)",2,,,1,,1,
"Primaria (063)",652,,128,294,1,228,1
"Secundaria (064)",343,8,103,125,3,103,1
"Superior no univ. incompleta (065)",29,4,7,9,1,8,
"Superior no univ. completa (066)",30,18,8,4,,,
"Superior univ. incompleta (067)",12,3,5,4,,,
"Superior univ. completa (068)",26,19,2,3,,1,1
"Hombres (070)",1007,42,255,438,6,266,
"Sin nivel (071)",148,,25,77,1,45,
"Educación inicial (072)",1,,,1,,,
"Primaria (073)",496,,113,241,1,141,
"Secundaria (074)",284,6,97,105,3,73,
"Superior no univ. incompleta (075)",22,4,5,6,1,6,
"Superior no univ. completa (076)",25,15,8,2,,,
"Superior univ. incompleta (077)",11,3,5,3,,,
"Superior univ. completa (078)",20,14,2,3,,1,
"Mujeres (080)",434,10,43,142,,236,3
"Sin nivel (081)",199,,20,63,,116,
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",156,,15,53,,87,1
"Secundaria (084)",59,2,6,20,,30,1
"Superior no univ. incompleta (085)",7,,2,3,,2,
"Superior no univ. completa (086)",5,3,,2,,,
"Superior univ. incompleta (087)",1,,,1,,,
"Superior univ. completa (088)",6,5,,,,,1
