"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PARURO (000)",30753,577,11495,5655,5465,4785,2776
"Jefe o Jefa (001)",8397,,13,1004,2748,2862,1770
"Esposa(o) / compañera(o) (002)",5687,,29,1183,2225,1646,604
"Hijo(a) / hijastro(a) (003)",13801,460,10158,2892,244,45,2
"Yerno / nuera (004)",211,,5,160,38,8,
"Nieto(a) (005)",745,68,603,70,4,,
"Padres / suegros (006)",334,,,,3,54,277
"Otro(a) pariente (007)",1255,46,603,245,136,130,95
"Trabajador(a) del hogar (008)",43,,15,18,4,2,4
"Pensionistas (009)",6,,,2,3,1,
"Otro(a) no pariente (010)",274,3,69,81,60,37,24
"Hombres (011)",15606,282,6017,2915,2703,2408,1281
"Jefe o Jefa (012)",6462,,8,820,2306,2207,1121
"Esposa(o) / compañera(o) (013)",297,,20,64,105,78,30
"Hijo(a) / hijastro(a) (014)",7435,224,5334,1701,150,24,2
"Yerno / nuera (015)",104,,2,72,26,4,
"Nieto(a) (016)",402,40,308,52,2,,
"Padres / suegros (017)",95,,,,1,11,83
"Otro(a) pariente (018)",630,16,304,148,73,59,30
"Trabajador(a) del hogar (019)",16,,6,8,2,,
"Pensionistas (020)",4,,,2,1,1,
"Otro(a) no pariente (021)",161,2,35,48,37,24,15
"Mujeres (022)",15147,295,5478,2740,2762,2377,1495
"Jefe o Jefa (023)",1935,,5,184,442,655,649
"Esposa(o) / compañera(o) (024)",5390,,9,1119,2120,1568,574
"Hijo(a) / hijastro(a) (025)",6366,236,4824,1191,94,21,
"Yerno / nuera (026)",107,,3,88,12,4,
"Nieto(a) (027)",343,28,295,18,2,,
"Padres / suegros (028)",239,,,,2,43,194
"Otro(a) pariente (029)",625,30,299,97,63,71,65
"Trabajador(a) del hogar (030)",27,,9,10,2,2,4
"Pensionistas (031)",2,,,,2,,
"Otro(a) no pariente (032)",113,1,34,33,23,13,9
,,,,,,,
"URBANA (033)",10445,169,3556,1973,1953,1704,1090
"Jefe o Jefa (034)",3057,,8,335,966,1035,713
"Esposa(o) / compañera(o) (035)",1883,,15,325,750,560,233
"Hijo(a) / hijastro(a) (036)",4291,128,3016,1025,101,20,1
"Yerno / nuera (037)",82,,3,58,20,1,
"Nieto(a) (038)",308,23,248,33,4,,
"Padres / suegros (039)",121,,,,1,17,103
"Otro(a) pariente (040)",476,16,205,121,61,47,26
"Trabajador(a) del hogar (041)",36,,15,13,3,1,4
"Pensionistas (042)",2,,,1,1,,
"Otro(a) no pariente (043)",189,2,46,62,46,23,10
"Hombres (044)",5221,82,1842,1009,942,850,496
"Jefe o Jefa (045)",2212,,6,247,759,764,436
"Esposa(o) / compañera(o) (046)",129,,9,24,50,34,12
"Hijo(a) / hijastro(a) (047)",2265,62,1569,567,57,9,1
"Yerno / nuera (048)",39,,1,25,12,1,
"Nieto(a) (049)",168,13,130,23,2,,
"Padres / suegros (050)",37,,,,,5,32
"Otro(a) pariente (051)",246,6,99,75,34,22,10
"Trabajador(a) del hogar (052)",15,,6,7,2,,
"Pensionistas (053)",1,,,1,,,
"Otro(a) no pariente (054)",109,1,22,40,26,15,5
"Mujeres (055)",5224,87,1714,964,1011,854,594
"Jefe o Jefa (056)",845,,2,88,207,271,277
"Esposa(o) / compañera(o) (057)",1754,,6,301,700,526,221
"Hijo(a) / hijastro(a) (058)",2026,66,1447,458,44,11,
"Yerno / nuera (059)",43,,2,33,8,,
"Nieto(a) (060)",140,10,118,10,2,,
"Padres / suegros (061)",84,,,,1,12,71
"Otro(a) pariente (062)",230,10,106,46,27,25,16
"Trabajador(a) del hogar (063)",21,,9,6,1,1,4
"Pensionistas (064)",1,,,,1,,
"Otro(a) no pariente (065)",80,1,24,22,20,8,5
,,,,,,,
"RURAL (066)",20308,408,7939,3682,3512,3081,1686
"Jefe o Jefa (067)",5340,,5,669,1782,1827,1057
"Esposa(o) / compañera(o) (068)",3804,,14,858,1475,1086,371
"Hijo(a) / hijastro(a) (069)",9510,332,7142,1867,143,25,1
"Yerno / nuera (070)",129,,2,102,18,7,
"Nieto(a) (071)",437,45,355,37,,,
"Padres / suegros (072)",213,,,,2,37,174
"Otro(a) pariente (073)",779,30,398,124,75,83,69
"Trabajador(a) del hogar (074)",7,,,5,1,1,
"Pensionistas (075)",4,,,1,2,1,
"Otro(a) no pariente (076)",85,1,23,19,14,14,14
"Hombres (077)",10385,200,4175,1906,1761,1558,785
"Jefe o Jefa (078)",4250,,2,573,1547,1443,685
"Esposa(o) / compañera(o) (079)",168,,11,40,55,44,18
"Hijo(a) / hijastro(a) (080)",5170,162,3765,1134,93,15,1
"Yerno / nuera (081)",65,,1,47,14,3,
"Nieto(a) (082)",234,27,178,29,,,
"Padres / suegros (083)",58,,,,1,6,51
"Otro(a) pariente (084)",384,10,205,73,39,37,20
"Trabajador(a) del hogar (085)",1,,,1,,,
"Pensionistas (086)",3,,,1,1,1,
"Otro(a) no pariente (087)",52,1,13,8,11,9,10
"Mujeres (088)",9923,208,3764,1776,1751,1523,901
"Jefe o Jefa (089)",1090,,3,96,235,384,372
"Esposa(o) / compañera(o) (090)",3636,,3,818,1420,1042,353
"Hijo(a) / hijastro(a) (091)",4340,170,3377,733,50,10,
"Yerno / nuera (092)",64,,1,55,4,4,
"Nieto(a) (093)",203,18,177,8,,,
"Padres / suegros (094)",155,,,,1,31,123
"Otro(a) pariente (095)",395,20,193,51,36,46,49
"Trabajador(a) del hogar (096)",6,,,4,1,1,
"Pensionistas (097)",1,,,,1,,
"Otro(a) no pariente (098)",33,,10,11,3,5,4
