"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAROCHIRI (000)",928,252,676
"Sin nivel (001)",13,2,11
"Educación inicial (002)",1,1,
"Primaria (003)",152,40,112
"Secundaria (004)",490,139,351
"Superior no univ. incompleta (005)",70,20,50
"Superior no univ. completa (006)",95,27,68
"Superior univ. incompleta (007)",41,12,29
"Superior univ. completa (008)",66,11,55
"De 14 a 29 años (010)",510,193,317
"Sin nivel (011)",2,1,1
"Primaria (013)",49,24,25
"Secundaria (014)",298,108,190
"Superior no univ. incompleta (015)",45,18,27
"Superior no univ. completa (016)",60,24,36
"Superior univ. incompleta (017)",29,10,19
"Superior univ. completa (018)",27,8,19
"De 30 a 44 años (020)",242,47,195
"Sin nivel (021)",2,1,1
"Educación inicial (022)",1,1,
"Primaria (023)",42,10,32
"Secundaria (024)",124,26,98
"Superior no univ. incompleta (025)",15,2,13
"Superior no univ. completa (026)",24,2,22
"Superior univ. incompleta (027)",6,2,4
"Superior univ. completa (028)",28,3,25
"De 45 a 64 años (030)",137,12,125
"Sin nivel (031)",6,,6
"Primaria (033)",40,6,34
"Secundaria (034)",58,5,53
"Superior no univ. incompleta (035)",7,,7
"Superior no univ. completa (036)",10,1,9
"Superior univ. incompleta (037)",6,,6
"Superior univ. completa (038)",10,,10
"De 65 y más años (040)",39,,39
"Sin nivel (041)",3,,3
"Primaria (043)",21,,21
"Secundaria (044)",10,,10
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",712,184,528
"Sin nivel (051)",8,1,7
"Primaria (053)",105,26,79
"Secundaria (054)",371,98,273
"Superior no univ. incompleta (055)",55,17,38
"Superior no univ. completa (056)",81,23,58
"Superior univ. incompleta (057)",34,9,25
"Superior univ. completa (058)",58,10,48
"De 14 a 29 años (060)",384,141,243
"Sin nivel (061)",2,1,1
"Primaria (063)",29,13,16
"Secundaria (064)",221,76,145
"Superior no univ. incompleta (065)",34,15,19
"Superior no univ. completa (066)",50,22,28
"Superior univ. incompleta (067)",24,7,17
"Superior univ. completa (068)",24,7,17
"De 30 a 44 años (070)",184,33,151
"Sin nivel (071)",1,,1
"Primaria (073)",26,7,19
"Secundaria (074)",94,18,76
"Superior no univ. incompleta (075)",13,2,11
"Superior no univ. completa (076)",21,1,20
"Superior univ. incompleta (077)",5,2,3
"Superior univ. completa (078)",24,3,21
"De 45 a 64 años (080)",110,10,100
"Sin nivel (081)",3,,3
"Primaria (083)",31,6,25
"Secundaria (084)",47,4,43
"Superior no univ. incompleta (085)",6,,6
"Superior no univ. completa (086)",9,,9
"Superior univ. incompleta (087)",5,,5
"Superior univ. completa (088)",9,,9
"De 65 y más años (090)",34,,34
"Sin nivel (091)",2,,2
"Primaria (093)",19,,19
"Secundaria (094)",9,,9
"Superior no univ. incompleta (095)",2,,2
"Superior no univ. completa (096)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",216,68,148
"Sin nivel (101)",5,1,4
"Educación inicial (102)",1,1,
"Primaria (103)",47,14,33
"Secundaria (104)",119,41,78
"Superior no univ. incompleta (105)",15,3,12
"Superior no univ. completa (106)",14,4,10
"Superior univ. incompleta (107)",7,3,4
"Superior univ. completa (108)",8,1,7
"De 14 a 29 años (110)",126,52,74
"Primaria (113)",20,11,9
"Secundaria (114)",77,32,45
"Superior no univ. incompleta (115)",11,3,8
"Superior no univ. completa (116)",10,2,8
"Superior univ. incompleta (117)",5,3,2
"Superior univ. completa (118)",3,1,2
"De 30 a 44 años (120)",58,14,44
"Sin nivel (121)",1,1,
"Educación inicial (122)",1,1,
"Primaria (123)",16,3,13
"Secundaria (124)",30,8,22
"Superior no univ. incompleta (125)",2,,2
"Superior no univ. completa (126)",3,1,2
"Superior univ. incompleta (127)",1,,1
"Superior univ. completa (128)",4,,4
"De 45 a 64 años (130)",27,2,25
"Sin nivel (131)",3,,3
"Primaria (133)",9,,9
"Secundaria (134)",11,1,10
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",1,1,
"Superior univ. incompleta (137)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",5,,5
"Sin nivel (141)",1,,1
"Primaria (143)",2,,2
"Secundaria (144)",1,,1
"Superior no univ. incompleta (145)",1,,1
