"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,15,973,1077,901,315
"Empleado (001)",595,1,130,283,175,6
"Obrero (002)",582,2,244,182,121,33
"Trabajador independiente (003)",1769,2,428,546,538,255
"Empleador o patrono (004)",28,1,8,9,6,4
"Trabajador familiar no remunerado (005)",269,9,141,50,54,15
"Trabajador del hogar (006)",38,,22,7,7,2
"Hombres (008)",2743,12,779,893,774,285
"Empleado (009)",399,,66,189,140,4
"Obrero (010)",548,2,226,176,111,33
"Trabajador independiente (011)",1547,1,352,482,478,234
"Empleador o patrono (012)",24,1,8,7,4,4
"Trabajador familiar no remunerado (013)",220,8,126,37,40,9
"Trabajador del hogar (014)",5,,1,2,1,1
"Mujeres (016)",538,3,194,184,127,30
"Empleado (017)",196,1,64,94,35,2
"Obrero (018)",34,,18,6,10,
"Trabajador independiente (019)",222,1,76,64,60,21
"Empleador o patrono (020)",4,,,2,2,
"Trabajador familiar no remunerado (021)",49,1,15,13,14,6
"Trabajador del hogar (022)",33,,21,5,6,1
,,,,,,
"URBANA (024)",1235,5,375,453,318,84
"Empleado (025)",418,1,76,210,125,6
"Obrero (026)",243,,118,72,42,11
"Trabajador independiente (027)",485,1,141,147,133,63
"Empleador o patrono (028)",18,,5,8,4,1
"Trabajador familiar no remunerado (029)",49,3,19,13,11,3
"Trabajador del hogar (030)",22,,16,3,3,
"Hombres (032)",894,3,263,316,241,71
"Empleado (033)",278,,42,134,98,4
"Obrero (034)",227,,111,69,36,11
"Trabajador independiente (035)",347,,93,101,98,55
"Empleador o patrono (036)",14,,5,6,2,1
"Trabajador familiar no remunerado (037)",26,3,11,5,7,
"Trabajador del hogar (038)",2,,1,1,,
"Mujeres (040)",341,2,112,137,77,13
"Empleado (041)",140,1,34,76,27,2
"Obrero (042)",16,,7,3,6,
"Trabajador independiente (043)",138,1,48,46,35,8
"Empleador o patrono (044)",4,,,2,2,
"Trabajador familiar no remunerado (045)",23,,8,8,4,3
"Trabajador del hogar (046)",20,,15,2,3,
,,,,,,
"RURAL (048)",2046,10,598,624,583,231
"Empleado (049)",177,,54,73,50,
"Obrero (050)",339,2,126,110,79,22
"Trabajador independiente (051)",1284,1,287,399,405,192
"Empleador o patrono (052)",10,1,3,1,2,3
"Trabajador familiar no remunerado (053)",220,6,122,37,43,12
"Trabajador del hogar (054)",16,,6,4,4,2
"Hombres (056)",1849,9,516,577,533,214
"Empleado (057)",121,,24,55,42,
"Obrero (058)",321,2,115,107,75,22
"Trabajador independiente (059)",1200,1,259,381,380,179
"Empleador o patrono (060)",10,1,3,1,2,3
"Trabajador familiar no remunerado (061)",194,5,115,32,33,9
"Trabajador del hogar (062)",3,,,1,1,1
"Mujeres (064)",197,1,82,47,50,17
"Empleado (065)",56,,30,18,8,
"Obrero (066)",18,,11,3,4,
"Trabajador independiente (067)",84,,28,18,25,13
"Trabajador familiar no remunerado (069)",26,1,7,5,10,3
"Trabajador del hogar (070)",13,,6,3,3,1
