"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCA SANCOS (000)",9211,2287,2271,2005,1693,955
"Sin nivel (001)",1137,46,56,193,401,441
"Educación inicial (002)",101,92,5,4,,
"Primaria (003)",4487,1840,562,784,853,448
"Secundaria (004)",2488,309,1341,557,243,38
"Superior no univ. incompleta (005)",183,,92,67,21,3
"Superior no univ. completa (006)",378,,112,196,61,9
"Superior univ. incompleta (007)",137,,61,44,28,4
"Superior univ. completa (008)",300,,42,160,86,12
"PEA (010)",3747,76,930,1325,1045,371
"Sin nivel (011)",398,3,18,82,174,121
"Educación inicial (012)",3,,1,2,,
"Primaria (013)",1438,56,254,407,507,214
"Secundaria (014)",1115,17,468,418,190,22
"Superior no univ. incompleta (015)",116,,47,48,19,2
"Superior no univ. completa (016)",311,,84,175,50,2
"Superior univ. incompleta (017)",88,,17,41,26,4
"Superior univ. completa (018)",278,,41,152,79,6
"Ocupada (020)",3573,70,878,1253,1004,368
"Sin nivel (021)",391,3,18,79,171,120
"Educación inicial (022)",3,,1,2,,
"Primaria (023)",1362,52,240,377,480,213
"Secundaria (024)",1046,15,436,393,181,21
"Superior no univ. incompleta (025)",112,,45,46,19,2
"Superior no univ. completa (026)",301,,81,170,48,2
"Superior univ. incompleta (027)",86,,17,39,26,4
"Superior univ. completa (028)",272,,40,147,79,6
"Desocupada (030)",174,6,52,72,41,3
"Sin nivel (031)",7,,,3,3,1
"Primaria (033)",76,4,14,30,27,1
