"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYABACA (000)",35768,32579,1596,554,1039
"Empleado (001)",2895,1087,539,429,840
"Obrero (002)",2980,2387,297,102,194
"Trabajador independiente (003)",22157,21661,496,,
"Empleador o patrono (004)",263,240,16,5,2
"Trabajador familiar no remunerado (005)",7078,6809,248,18,3
"Trabajador del hogar (006)",395,395,,,
"De 06 a 14 años (008)",880,854,24,2,
"Empleado (009)",16,13,2,1,
"Obrero (010)",38,37,,1,
"Trabajador independiente (011)",145,138,7,,
"Trabajador familiar no remunerado (013)",656,641,15,,
"Trabajador del hogar (014)",25,25,,,
"De 15 a 29 años (016)",11667,10673,519,138,337
"Empleado (017)",781,372,129,73,207
"Obrero (018)",1395,1091,123,52,129
"Trabajador independiente (019)",4821,4693,128,,
"Empleador o patrono (020)",58,48,5,4,1
"Trabajador familiar no remunerado (021)",4377,4234,134,9,
"Trabajador del hogar (022)",235,235,,,
"De 30 a 44 años (024)",10790,9436,625,251,478
"Empleado (025)",1410,461,283,222,444
"Obrero (026)",841,682,103,23,33
"Trabajador independiente (027)",7178,7004,174,,
"Empleador o patrono (028)",93,88,5,,
"Trabajador familiar no remunerado (029)",1198,1131,60,6,1
"Trabajador del hogar (030)",70,70,,,
"De 45 a 64 años (032)",8905,8158,375,158,214
"Empleado (033)",666,228,121,131,186
"Obrero (034)",570,458,63,23,26
"Trabajador independiente (035)",6910,6757,153,,
"Empleador o patrono (036)",82,76,5,1,
"Trabajador familiar no remunerado (037)",623,585,33,3,2
"Trabajador del hogar (038)",54,54,,,
"De 65 y más años (040)",3526,3458,53,5,10
"Empleado (041)",22,13,4,2,3
"Obrero (042)",136,119,8,3,6
"Trabajador independiente (043)",3103,3069,34,,
"Empleador o patrono (044)",30,28,1,,1
"Trabajador familiar no remunerado (045)",224,218,6,,
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",5694,4063,575,371,685
"Empleado (049)",1909,648,369,336,556
"Obrero (050)",624,389,76,32,127
"Trabajador independiente (051)",2494,2392,102,,
"Empleador o patrono (052)",57,50,6,1,
"Trabajador familiar no remunerado (053)",435,409,22,2,2
"Trabajador del hogar (054)",175,175,,,
"De 06 a 14 años (056)",122,113,8,1,
