"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUAURA (000)",77446,73508,22049,12328,12149,8965,9649,4791,3577,3938
"Católica (001)",65380,62002,18675,10642,10512,7656,7966,3811,2740,3378
"Cristiana/Evangélica (002)",8394,8062,2112,1124,1144,935,1289,787,671,332
"Otra (003)",2252,2121,672,314,318,251,283,154,129,131
"Ninguna (004)",1420,1323,590,248,175,123,111,39,37,97
,,,,,,,,,,
"URBANA (006)",68021,64338,19425,10984,10959,7974,8293,3901,2802,3683
"Católica (007)",57742,54581,16444,9520,9514,6855,6915,3146,2187,3161
"Cristiana/Evangélica (008)",6885,6579,1801,945,982,765,1030,585,471,306
"Otra (009)",2108,1982,639,291,296,241,262,136,117,126
"Ninguna (010)",1286,1196,541,228,167,113,86,34,27,90
,,,,,,,,,,
"RURAL (012)",9425,9170,2624,1344,1190,991,1356,890,775,255
"Católica (013)",7638,7421,2231,1122,998,801,1051,665,553,217
"Cristiana/Evangélica (014)",1509,1483,311,179,162,170,259,202,200,26
"Otra (015)",144,139,33,23,22,10,21,18,12,5
"Ninguna (016)",134,127,49,20,8,10,25,5,10,7
