"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia LAMAS",,,,,,,,,
"Hogares (001)",18456,396,191,149,116,86,62,47,17409
"Ocupantes presentes (002)",78826,1403,623,503,470,390,318,276,74843
"Casa independiente",,,,,,,,,
"Hogares (004)",15681,373,182,143,110,80,58,41,14694
"Ocupantes presentes (005)",67165,1346,589,486,448,358,294,244,63400
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2,,,,,,,,2
"Ocupantes presentes (008)",4,,,,,,,,4
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",204,6,3,1,1,2,,1,190
"Ocupantes presentes (011)",643,14,10,1,4,6,,7,601
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",85,1,,,1,1,,,82
"Ocupantes presentes (014)",301,5,,,4,10,,,282
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2409,16,4,5,4,2,4,4,2370
"Ocupantes presentes (017)",10427,38,14,16,14,10,24,23,10288
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",48,,2,,,1,,,45
"Ocupantes presentes (020)",181,,10,,,6,,,165
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",12,,,,,,,1,11
"Ocupantes presentes (023)",47,,,,,,,2,45
"Otro tipo",,,,,,,,,
"Hogares (025)",15,,,,,,,,15
"Ocupantes presentes (026)",58,,,,,,,,58
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",9035,311,158,124,95,73,39,33,8202
"Ocupantes presentes (029)",37573,1150,524,422,380,325,211,184,34377
"Casa independiente",,,,,,,,,
"Hogares (031)",8683,304,153,123,93,69,39,31,7871
"Ocupantes presentes (032)",36400,1131,504,421,372,303,211,175,33283
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2,,,,,,,,2
"Ocupantes presentes (035)",4,,,,,,,,4
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",204,6,3,1,1,2,,1,190
"Ocupantes presentes (038)",643,14,10,1,4,6,,7,601
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",85,1,,,1,1,,,82
"Ocupantes presentes (041)",301,5,,,4,10,,,282
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",48,,2,,,1,,,45
"Ocupantes presentes (047)",181,,10,,,6,,,165
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",9,,,,,,,1,8
"Ocupantes presentes (050)",30,,,,,,,2,28
"Otro tipo",,,,,,,,,
"Hogares (052)",4,,,,,,,,4
"Ocupantes presentes (053)",14,,,,,,,,14
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",9421,85,33,25,21,13,23,14,9207
"Ocupantes presentes (056)",41253,253,99,81,90,65,107,92,40466
"Casa independiente",,,,,,,,,
"Hogares (058)",6998,69,29,20,17,11,19,10,6823
"Ocupantes presentes (059)",30765,215,85,65,76,55,83,69,30117
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2409,16,4,5,4,2,4,4,2370
"Ocupantes presentes (071)",10427,38,14,16,14,10,24,23,10288
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",17,,,,,,,,17
"Otro tipo",,,,,,,,,
"Hogares (079)",11,,,,,,,,11
"Ocupantes presentes (080)",44,,,,,,,,44
