"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARI (000)",15553,131,5847,4992,1627,566,239,117,15,,2019
"Sin Nivel (001)",6362,79,2322,2037,672,260,125,71,8,,788
"Educación Inicial (002)",23,,12,5,2,1,,,,,3
"Primaria (003)",5058,40,2311,1602,412,122,61,33,5,,472
"Secundaria (004)",2311,9,883,767,214,51,16,7,1,,363
"Sup. no Univ. Incompleta (005)",369,,88,126,44,14,3,,,,94
"Sup. no Univ. Completa (006)",944,1,158,312,201,71,21,3,1,,176
"Sup. Univ. Incompleta (007)",124,,26,43,17,6,1,,,,31
"Sup. Univ. Completa (008)",362,2,47,100,65,41,12,3,,,92
,,,,,,,,,,,
"URBANA (010)",5836,34,2026,1831,709,269,112,50,6,,799
"Sin Nivel (011)",1380,16,514,414,138,69,37,18,2,,172
"Educación Inicial (012)",10,,6,1,,,,,,,3
"Primaria (013)",1820,11,809,548,166,59,32,21,2,,172
"Secundaria (014)",1230,7,460,411,130,34,11,5,1,,171
"Sup. no Univ. Incompleta (015)",250,,56,91,31,10,1,,,,61
"Sup. no Univ. Completa (016)",724,,115,243,169,59,18,3,1,,116
"Sup. Univ. Incompleta (017)",109,,24,37,15,6,1,,,,26
"Sup. Univ. Completa (018)",313,,42,86,60,32,12,3,,,78
,,,,,,,,,,,
"RURAL (020)",9717,97,3821,3161,918,297,127,67,9,,1220
"Sin Nivel (021)",4982,63,1808,1623,534,191,88,53,6,,616
"Educación Inicial (022)",13,,6,4,2,1,,,,,
"Primaria (023)",3238,29,1502,1054,246,63,29,12,3,,300
"Secundaria (024)",1081,2,423,356,84,17,5,2,,,192
"Sup. no Univ. Incompleta (025)",119,,32,35,13,4,2,,,,33
"Sup. no Univ. Completa (026)",220,1,43,69,32,12,3,,,,60
"Sup. Univ. Incompleta (027)",15,,2,6,2,,,,,,5
"Sup. Univ. Completa (028)",49,2,5,14,5,9,,,,,14
