"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHINCHEROS (000)",448,199,249
"Sin nivel (001)",26,9,17
"Primaria (003)",157,60,97
"Secundaria (004)",213,106,107
"Superior no univ. incompleta (005)",12,5,7
"Superior no univ. completa (006)",26,13,13
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",9,4,5
"Hombres (010)",365,150,215
"Sin nivel (011)",19,6,13
"Primaria (013)",137,45,92
"Secundaria (014)",172,83,89
"Superior no univ. incompleta (015)",9,5,4
"Superior no univ. completa (016)",18,8,10
"Superior univ. incompleta (017)",3,1,2
"Superior univ. completa (018)",7,2,5
"Mujeres (020)",83,49,34
"Sin nivel (021)",7,3,4
"Primaria (023)",20,15,5
"Secundaria (024)",41,23,18
"Superior no univ. incompleta (025)",3,,3
"Superior no univ. completa (026)",8,5,3
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",2,2,
,,,
"AREA URBANA (030)",163,72,91
"Sin nivel (031)",8,4,4
"Primaria (033)",40,13,27
"Secundaria (034)",87,43,44
"Superior no univ. incompleta (035)",5,2,3
"Superior no univ. completa (036)",13,6,7
"Superior univ. incompleta (037)",3,2,1
"Superior univ. completa (038)",7,2,5
"Hombres (040)",131,56,75
"Sin nivel (041)",7,4,3
"Primaria (043)",34,8,26
"Secundaria (044)",70,37,33
"Superior no univ. incompleta (045)",3,2,1
"Superior no univ. completa (046)",10,3,7
"Superior univ. incompleta (047)",1,1,
"Superior univ. completa (048)",6,1,5
"Mujeres (050)",32,16,16
"Sin nivel (051)",1,,1
"Primaria (053)",6,5,1
"Secundaria (054)",17,6,11
"Superior no univ. incompleta (055)",2,,2
"Superior no univ. completa (056)",3,3,
"Superior univ. incompleta (057)",2,1,1
"Superior univ. completa (058)",1,1,
,,,
"AREA RURAL (060)",285,127,158
"Sin nivel (061)",18,5,13
"Primaria (063)",117,47,70
"Secundaria (064)",126,63,63
"Superior no univ. incompleta (065)",7,3,4
"Superior no univ. completa (066)",13,7,6
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",2,2,
"Hombres (070)",234,94,140
"Sin nivel (071)",12,2,10
"Primaria (073)",103,37,66
"Secundaria (074)",102,46,56
"Superior no univ. incompleta (075)",6,3,3
"Superior no univ. completa (076)",8,5,3
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",1,1,
"Mujeres (080)",51,33,18
"Sin nivel (081)",6,3,3
"Primaria (083)",14,10,4
"Secundaria (084)",24,17,7
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",5,2,3
"Superior univ. completa (088)",1,1,
