"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAMALIES (000)",61670,27282,2701,589,31148
"Quechua (001)",32873,14478,743,168,17501
"Aymara (002)",44,16,6,4,21
"Asháninka (003)",6,3,1,5,
"Otra lengua nativa (004)",6,4,1,1,1
"Castellano (005)",28511,12733,1949,410,13445
"Idioma Extranjero (006)",4,,,1,3
"Es Sordomudo/a (007)",226,48,1,,177
"Hombres (009)",31249,13038,1343,359,16531
"Quechua (010)",16194,6714,409,83,8996
"Aymara (011)",22,5,3,2,13
"Asháninka (012)",3,1,,3,
"Otra lengua nativa (013)",1,,1,,
"Castellano (014)",14898,6293,929,270,7418
"Idioma Extranjero (015)",2,,,1,1
"Es Sordomudo/a (016)",129,25,1,,103
"Mujeres (018)",30421,14244,1358,230,14617
"Quechua (019)",16679,7764,334,85,8505
"Aymara (020)",22,11,3,2,8
"Asháninka (021)",3,2,1,2,
"Otra lengua nativa (022)",5,4,,1,1
"Castellano (023)",13613,6440,1020,140,6027
"Idioma Extranjero (024)",2,,,,2
"Es Sordomudo/a (025)",97,23,,,74
,,,,,
"URBANA (027)",17444,6846,2013,350,8257
"Quechua (028)",7361,2887,470,50,3957
"Aymara (029)",16,6,5,2,5
"Asháninka (030)",2,,,2,
"Otra lengua nativa (031)",3,2,1,,
"Castellano (032)",10008,3941,1537,295,4252
"Idioma Extranjero (033)",4,,,1,3
"Es Sordomudo/a (034)",50,10,,,40
"Hombres (036)",8583,3241,1000,238,4112
"Quechua (037)",3527,1328,262,28,1910
"Aymara (038)",8,2,3,1,3
"Asháninka (039)",2,,,2,
"Otra lengua nativa (040)",1,,1,,
"Castellano (041)",5012,1906,734,206,2172
"Idioma Extranjero (042)",2,,,1,1
"Es Sordomudo/a (043)",31,5,,,26
"Mujeres (045)",8861,3605,1013,112,4145
"Quechua (046)",3834,1559,208,22,2047
"Aymara (047)",8,4,2,1,2
"Otra lengua nativa (049)",2,2,,,
"Castellano (050)",4996,2035,803,89,2080
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",19,5,,,14
,,,,,
"RURAL (054)",44226,20436,688,239,22891
"Quechua (055)",25512,11591,273,118,13544
"Aymara (056)",28,10,1,2,16
"Asháninka (057)",4,3,1,3,
"Otra lengua nativa (058)",3,2,,1,1
"Castellano (059)",18503,8792,412,115,9193
"Es Sordomudo/a (061)",176,38,1,,137
"Hombres (063)",22666,9797,343,121,12419
"Quechua (064)",12667,5386,147,55,7086
"Aymara (065)",14,3,,1,10
"Asháninka (066)",1,1,,1,
"Castellano (068)",9886,4387,195,64,5246
"Es Sordomudo/a (070)",98,20,1,,77
"Mujeres (072)",21560,10639,345,118,10472
"Quechua (073)",12845,6205,126,63,6458
"Aymara (074)",14,7,1,1,6
"Asháninka (075)",3,2,1,2,
"Otra lengua nativa (076)",3,2,,1,1
"Castellano (077)",8617,4405,217,51,3947
"Es Sordomudo/a (079)",78,18,,,60
