"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANDIA (000)",54225,14446,2172,426,37213
"Hombres (001)",29228,6978,1200,246,20822
"Mujeres (002)",24997,7468,972,180,16391
"PEA (003)",27338,4145,1217,197,21792
"Hombres (004)",17678,2243,732,148,14564
"Mujeres (005)",9660,1902,485,49,7228
"Ocupada (006)",26380,4057,1202,195,20939
"Hombres (007)",16910,2181,720,146,13872
"Mujeres (008)",9470,1876,482,49,7067
"Desocupada (009)",958,88,15,2,853
"Hombres (010)",768,62,12,2,692
"Mujeres (011)",190,26,3,,161
"No PEA (012)",26887,10301,955,229,15421
"Hombres (013)",11550,4735,468,98,6258
"Mujeres (014)",15337,5566,487,131,9163
,,,,,
"URBANA (018)",14549,3490,1381,185,9501
"Hombres (019)",7252,1632,701,115,4809
"Mujeres (020)",7297,1858,680,70,4692
"PEA (021)",6595,760,829,107,4904
"Hombres (022)",3970,403,475,84,3013
"Mujeres (023)",2625,357,354,23,1891
"Ocupada (024)",6229,736,817,105,4576
"Hombres (025)",3698,389,466,82,2766
"Mujeres (026)",2531,347,351,23,1810
"Desocupada (027)",366,24,12,2,328
"Hombres (028)",272,14,9,2,247
"Mujeres (029)",94,10,3,,81
"No PEA (030)",7954,2730,552,78,4597
"Hombres (031)",3282,1229,226,31,1796
"Mujeres (032)",4672,1501,326,47,2801
,,,,,
"RURAL (036)",39676,10956,791,241,27712
"Hombres (037)",21976,5346,499,131,16013
"Mujeres (038)",17700,5610,292,110,11699
"PEA (039)",20743,3385,388,90,16888
"Hombres (040)",13708,1840,257,64,11551
"Mujeres (041)",7035,1545,131,26,5337
"Ocupada (042)",20151,3321,385,90,16363
"Hombres (043)",13212,1792,254,64,11106
"Mujeres (044)",6939,1529,131,26,5257
"Desocupada (045)",592,64,3,,525
"Hombres (046)",496,48,3,,445
"Mujeres (047)",96,16,,,80
"No PEA (048)",18933,7571,403,151,10824
"Hombres (049)",8268,3506,242,67,4462
"Mujeres (050)",10665,4065,161,84,6362
