"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CORONGO (000)",8310,119,2612,1912,1513,1328,826
"Casa independiente (001)",8237,119,2589,1893,1500,1317,819
"Vivienda en casa de vecindad (004)",26,,9,4,2,5,6
"Choza o cabaña (005)",31,,14,7,6,3,1
"Local no destinado para hab.humana (007)",16,,,8,5,3,
,,,,,,,
"URBANA (009)",4094,54,1150,866,791,728,505
"Casa independiente (010)",4067,54,1141,862,788,723,499
"Vivienda en casa de vecindad (013)",26,,9,4,2,5,6
"Local no destinado para hab.humana (016)",1,,,,1,,
,,,,,,,
"RURAL (018)",4216,65,1462,1046,722,600,321
"Casa independiente (019)",4170,65,1448,1031,712,594,320
"Choza o cabaña (023)",31,,14,7,6,3,1
"Local no destinado para hab.humana (025)",15,,,8,4,3,
