"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia LUCANAS (000)",33023,16591,313,545,13984,708,30,63,25,764
"Hombres (001)",12757,8444,227,317,2931,318,21,38,25,436
"Mujeres (002)",20266,8147,86,228,11053,390,9,25,,328
"De 06 a 14 años (003)",12584,11981,,,290,142,,12,,159
"Hombres (004)",6440,6148,,,133,78,,7,,74
"Mujeres (005)",6144,5833,,,157,64,,5,,85
"De 15 a 29 años (006)",8384,4460,3,91,3543,,13,13,25,236
"Hombres (007)",3160,2220,3,47,716,,9,8,25,132
"Mujeres (008)",5224,2240,,44,2827,,4,5,,104
"De 30 a 44 años (009)",3871,113,15,108,3517,,6,10,,102
"Hombres (010)",827,58,9,65,615,,5,7,,68
"Mujeres (011)",3044,55,6,43,2902,,1,3,,34
"De 45 a 64 años (012)",4035,34,114,132,3592,5,9,8,,141
"Hombres (013)",1054,17,78,82,774,2,6,6,,89
"Mujeres (014)",2981,17,36,50,2818,3,3,2,,52
"De 65 y más años (015)",4149,3,181,214,3042,561,2,20,,126
"Hombres (016)",1276,1,137,123,693,238,1,10,,73
"Mujeres (017)",2873,2,44,91,2349,323,1,10,,53
,,,,,,,,,,
"AREA URBANA (018)",19566,10453,268,364,7675,364,8,32,24,378
"Hombres (019)",7717,5264,193,186,1654,155,4,20,24,217
"Mujeres (020)",11849,5189,75,178,6021,209,4,12,,161
"De 06 a 14 años (021)",7485,7170,,,182,61,,9,,63
"Hombres (022)",3811,3648,,,95,31,,5,,32
"Mujeres (023)",3674,3522,,,87,30,,4,,31
"De 15 a 29 años (024)",5236,3173,2,67,1832,,3,8,24,127
"Hombres (025)",2105,1561,2,31,409,,2,6,24,70
"Mujeres (026)",3131,1612,,36,1423,,1,2,,57
"De 30 a 44 años (027)",2143,89,12,70,1912,,2,6,,52
"Hombres (028)",442,45,8,35,313,,2,4,,35
"Mujeres (029)",1701,44,4,35,1599,,,2,,17
"De 45 a 64 años (030)",2175,19,99,80,1897,1,3,3,,73
"Hombres (031)",568,10,67,45,398,,,2,,46
"Mujeres (032)",1607,9,32,35,1499,1,3,1,,27
"De 65 y más años (033)",2527,2,155,147,1852,302,,6,,63
"Hombres (034)",791,,116,75,439,124,,3,,34
"Mujeres (035)",1736,2,39,72,1413,178,,3,,29
,,,,,,,,,,
"AREA RURAL (036)",13457,6138,45,181,6309,344,22,31,1,386
"Hombres (037)",5040,3180,34,131,1277,163,17,18,1,219
"Mujeres (038)",8417,2958,11,50,5032,181,5,13,,167
"De 06 a 14 años (039)",5099,4811,,,108,81,,3,,96
"Hombres (040)",2629,2500,,,38,47,,2,,42
"Mujeres (041)",2470,2311,,,70,34,,1,,54
"De 15 a 29 años (042)",3148,1287,1,24,1711,,10,5,1,109
"Hombres (043)",1055,659,1,16,307,,7,2,1,62
"Mujeres (044)",2093,628,,8,1404,,3,3,,47
"De 30 a 44 años (045)",1728,24,3,38,1605,,4,4,,50
"Hombres (046)",385,13,1,30,302,,3,3,,33
"Mujeres (047)",1343,11,2,8,1303,,1,1,,17
"De 45 a 64 años (048)",1860,15,15,52,1695,4,6,5,,68
"Hombres (049)",486,7,11,37,376,2,6,4,,43
"Mujeres (050)",1374,8,4,15,1319,2,,1,,25
"De 65 y más años (051)",1622,1,26,67,1190,259,2,14,,63
"Hombres (052)",485,1,21,48,254,114,1,7,,39
"Mujeres (053)",1137,,5,19,936,145,1,7,,24
