"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CANDARAVE (000)",3012,411,812,770,1019
"Asiste actualmente (001)",1987,244,785,718,240
"No asiste (002)",1025,167,27,52,779
"Hombres (004)",1574,208,406,408,552
"Asiste actualmente (005)",1024,130,389,384,121
"No asiste (006)",550,78,17,24,431
"Mujeres (008)",1438,203,406,362,467
"Asiste actualmente (009)",963,114,396,334,119
"No asiste (010)",475,89,10,28,348
,,,,,
"URBANA (012)",1894,265,486,488,655
"Asiste actualmente (013)",1259,169,468,461,161
"No asiste (014)",635,96,18,27,494
"Hombres (016)",991,143,253,247,348
"Asiste actualmente (017)",651,95,240,235,81
"No asiste (018)",340,48,13,12,267
"Mujeres (020)",903,122,233,241,307
"Asiste actualmente (021)",608,74,228,226,80
"No asiste (022)",295,48,5,15,227
,,,,,
"RURAL (024)",1118,146,326,282,364
"Asiste actualmente (025)",728,75,317,257,79
"No asiste (026)",390,71,9,25,285
"Hombres (028)",583,65,153,161,204
"Asiste actualmente (029)",373,35,149,149,40
"No asiste (030)",210,30,4,12,164
"Mujeres (032)",535,81,173,121,160
"Asiste actualmente (033)",355,40,168,108,39
"No asiste (034)",180,41,5,13,121
