"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CASTILLA (000)",535,126,409
"De 14 a 29 años (001)",263,95,168
"De 30 a 44 años (002)",159,25,134
"De 45 a 64 años (003)",89,6,83
"De 65 y más años (004)",24,,24
"Hombres (005)",384,69,315
"De 14 a 29 años (006)",182,54,128
"De 30 a 44 años (007)",112,10,102
"De 45 a 64 años (008)",70,5,65
"De 65 y más años (009)",20,,20
"Mujeres (010)",151,57,94
"De 14 a 29 años (011)",81,41,40
"De 30 a 44 años (012)",47,15,32
"De 45 a 64 años (013)",19,1,18
"De 65 y más años (014)",4,,4
,,,
"AREA URBANA (015)",337,78,259
"De 14 a 29 años (016)",164,59,105
"De 30 a 44 años (017)",109,16,93
"De 45 a 64 años (018)",49,3,46
"De 65 y más años (019)",15,,15
"Hombres (020)",230,39,191
"De 14 a 29 años (021)",110,33,77
"De 30 a 44 años (022)",72,4,68
"De 45 a 64 años (023)",37,2,35
"De 65 y más años (024)",11,,11
"Mujeres (025)",107,39,68
"De 14 a 29 años (026)",54,26,28
"De 30 a 44 años (027)",37,12,25
"De 45 a 64 años (028)",12,1,11
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",198,48,150
"De 14 a 29 años (031)",99,36,63
"De 30 a 44 años (032)",50,9,41
"De 45 a 64 años (033)",40,3,37
"De 65 y más años (034)",9,,9
"Hombres (035)",154,30,124
"De 14 a 29 años (036)",72,21,51
"De 30 a 44 años (037)",40,6,34
"De 45 a 64 años (038)",33,3,30
"De 65 y más años (039)",9,,9
"Mujeres (040)",44,18,26
"De 14 a 29 años (041)",27,15,12
"De 30 a 44 años (042)",10,3,7
"De 45 a 64 años (043)",7,,7
