"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia UTCUBAMBA (000)",36395,35616,10696,4897,4684,3556,4736,3090,3957,779
"Católica (001)",27135,26566,8087,3784,3483,2638,3438,2194,2942,569
"Cristiana/Evangélica (002)",5359,5229,1459,575,681,534,736,587,657,130
"Otra (003)",2221,2184,630,255,288,218,330,206,257,37
"Ninguna (004)",1680,1637,520,283,232,166,232,103,101,43
,,,,,,,,,,
"URBANA (006)",16799,16380,5125,2519,2418,1743,2123,1212,1240,419
"Católica (007)",12438,12121,3815,1968,1821,1293,1520,809,895,317
"Cristiana/Evangélica (008)",2601,2539,765,295,344,278,347,274,236,62
"Otra (009)",1070,1053,323,132,144,106,165,94,89,17
"Ninguna (010)",690,667,222,124,109,66,91,35,20,23
,,,,,,,,,,
"RURAL (012)",19596,19236,5571,2378,2266,1813,2613,1878,2717,360
"Católica (013)",14697,14445,4272,1816,1662,1345,1918,1385,2047,252
"Cristiana/Evangélica (014)",2758,2690,694,280,337,256,389,313,421,68
"Otra (015)",1151,1131,307,123,144,112,165,112,168,20
"Ninguna (016)",990,970,298,159,123,100,141,68,81,20
