"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA CONVENCION (000)",152810,24732,3138,63004,50437,2920,3070,2220,3289
"Jefe o Jefa (001)",44497,6030,28,17076,16191,1127,1398,845,1802
"Esposa(o)/ compa¤era(o) (002)",26807,5405,36,11044,8395,461,612,293,561
"Hijo(a)/ hijastro(a) (003)",59375,9128,2533,26363,18568,892,638,787,466
"Yerno/ nuera (004)",1706,42,,375,1022,72,86,38,71
"Nieto(a) (005)",4312,1139,306,1956,820,31,15,33,12
"Padres/ suegros (006)",1346,839,,379,100,2,6,3,17
"Otro(a) pariente (007)",9495,1384,204,3851,3361,197,172,154,172
"Trabajador(a) del hogar (008)",514,91,,210,195,14,2,1,1
"Pensionista (009)",156,7,,34,70,7,13,5,20
"Otro(a) no pariente (010)",4602,667,31,1716,1715,117,128,61,167
"Hombres (012)",80196,9999,1581,32932,29421,1553,1511,1275,1924
"Jefe o Jefa (013)",33477,3246,17,13472,12927,821,970,674,1350
"Esposa(o)/ compa¤era(o) (014)",2197,201,4,732,1018,57,57,53,75
"Hijo(a)/ hijastro(a) (015)",31969,4636,1271,13788,10951,440,274,374,235
"Yerno/ nuera (016)",811,11,,161,499,28,43,20,49
"Nieto(a) (017)",2297,610,154,1023,466,15,9,15,5
"Padres/ suegros (018)",480,187,,228,53,1,1,2,8
"Otro(a) pariente (019)",5375,626,117,2155,2085,111,97,86,98
"Trabajador(a) del hogar (020)",118,17,,43,54,3,,1,
"Pensionista (021)",103,5,,24,51,2,9,3,9
"Otro(a) no pariente (022)",3369,460,18,1306,1317,75,51,47,95
"Mujeres (024)",72614,14733,1557,30072,21016,1367,1559,945,1365
"Jefe o Jefa (025)",11020,2784,11,3604,3264,306,428,171,452
"Esposa(o)/ compa¤era(o) (026)",24610,5204,32,10312,7377,404,555,240,486
"Hijo(a)/ hijastro(a) (027)",27406,4492,1262,12575,7617,452,364,413,231
"Yerno/ nuera (028)",895,31,,214,523,44,43,18,22
"Nieto(a) (029)",2015,529,152,933,354,16,6,18,7
"Padres/ suegros (030)",866,652,,151,47,1,5,1,9
"Otro(a) pariente (031)",4120,758,87,1696,1276,86,75,68,74
"Trabajador(a) del hogar (032)",396,74,,167,141,11,2,,1
"Pensionista (033)",53,2,,10,19,5,4,2,11
"Otro(a) no pariente (034)",1233,207,13,410,398,42,77,14,72
,,,,,,,,,
"URBANA (036)",45352,4227,1048,14100,18277,1687,1946,1615,2452
"Jefe o Jefa (037)",14105,873,8,3478,6177,685,907,607,1370
"Esposa(o)/ compa¤era(o) (038)",7258,722,3,1992,3131,299,452,221,438
"Hijo(a)/ hijastro(a) (039)",16858,1830,832,6420,6088,439,348,576,325
"Yerno/ nuera (040)",518,4,,52,291,40,56,23,52
"Nieto(a) (041)",1305,278,105,556,307,16,11,25,7
"Padres/ suegros (042)",432,198,,149,61,1,4,2,17
"Otro(a) pariente (043)",3289,232,85,1045,1463,125,94,118,127
"Trabajador(a) del hogar (044)",203,8,,63,115,13,2,1,1
