"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TACNA (000)",105507,182637,171773,,3638,94.1,2
"De 12 a 14 años (001)",7626,53,51,,1,96.2,1.9
"De 15 a 19 años (002)",13173,1159,1141,318,98.4,27.4,
"De 20 a 24 años (003)",13623,6440,6323,817,98.2,12.7,
"De 25 a 29 años (004)",13408,13531,13287,994,98.2,7.3,
"De 30 a 34 años (005)",11965,19080,18697,834,98,4.4,
"De 35 a 39 años (006)",10932,22840,22261,509,97.5,2.2,
"De 40 a 44 años (007)",8928,22561,21802,148,96.6,0.7,
"De 45 a 49 años (008)",6984,20580,19531,17,94.9,0.1,
"De 50 y más años (009)",18868,76393,68680,,89.9,,
"PEA (010)",51585,93706,88982,1360,95,1.5,
"De 12 a 14 años (011)",247,11,11,,100,,
"De 15 a 19 años (012)",3135,419,413,88,98.6,21,
"De 20 a 24 años (013)",6785,2949,2892,232,98.1,7.9,
"De 25 a 29 años (014)",8020,6963,6813,334,97.8,4.8,
"De 30 a 34 años (015)",7616,11066,10810,373,97.7,3.4,
"De 35 a 39 años (016)",7258,14325,13976,247,97.6,1.7,
"De 40 a 44 años (017)",6001,14620,14114,75,96.5,0.5,
"De 45 a 49 años (018)",4604,13039,12402,11,95.1,0.1,
"De 50 y más años (019)",7919,30314,27551,,90.9,,
"Ocupada (020)",48560,89795,85230,1265,94.9,1.4,
"De 12 a 14 años (021)",228,9,9,,100,,
"De 15 a 19 años (022)",2779,373,368,76,98.7,20.4,
"De 20 a 24 años (023)",6083,2698,2642,213,97.9,7.9,
"De 25 a 29 años (024)",7396,6466,6333,307,97.9,4.7,
"De 30 a 34 años (025)",7230,10522,10279,354,97.7,3.4,
"De 35 a 39 años (026)",6898,13597,13268,233,97.6,1.7,
"De 40 a 44 años (027)",5803,14082,13596,72,96.5,0.5,
"De 45 a 49 años (028)",4449,12561,11954,10,95.2,0.1,
"De 50 y más años (029)",7694,29487,26781,,90.8,,
"Desocupada (030)",3025,3911,3752,95,95.9,2.4,
"De 12 a 14 años (031)",19,2,2,,100,,
"De 15 a 19 años (032)",356,46,45,12,97.8,26.1,
"De 20 a 24 años (033)",702,251,250,19,99.6,7.6,
"De 25 a 29 años (034)",624,497,480,27,96.6,5.4,
"De 30 a 34 años (035)",386,544,531,19,97.6,3.5,
