"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia TAYACAJA",,,,,,,,,
"Viviendas particulares (001)",5309,533,796,545,826,63,29,23,2494
"Ocupantes presentes (002)",23089,2276,3773,2504,3706,226,155,107,10342
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5139,529,764,482,772,61,29,23,2479
"Ocupantes presentes (005)",22242,2242,3618,2199,3410,220,155,107,10291
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,,3,,,,,,
"Ocupantes presentes (008)",12,,12,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",72,,18,35,17,2,,,
"Ocupantes presentes (011)",317,,100,144,67,6,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",86,3,11,26,36,,,,10
"Ocupantes presentes (014)",505,29,43,159,228,,,,46
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,1,,1,,,,,
"Ocupantes presentes (020)",6,5,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,,,1,1,,,,5
"Ocupantes presentes (023)",7,,,1,1,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2760,445,710,519,456,59,4,3,564
"Ocupantes presentes (029)",12044,1928,3387,2378,2045,209,17,9,2071
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2591,441,678,456,402,57,4,3,550
"Ocupantes presentes (032)",11198,1894,3232,2073,1749,203,17,9,2021
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,,3,,,,,,
"Ocupantes presentes (035)",12,,12,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",72,,18,35,17,2,,,
"Ocupantes presentes (038)",317,,100,144,67,6,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",86,3,11,26,36,,,,10
"Ocupantes presentes (041)",505,29,43,159,228,,,,46
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,1,,1,,,,,
"Ocupantes presentes (047)",6,5,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,,,1,1,,,,4
"Ocupantes presentes (050)",6,,,1,1,,,,4
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2549,88,86,26,370,4,25,20,1930
"Ocupantes presentes (056)",11045,348,386,126,1661,17,138,98,8271
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2548,88,86,26,370,4,25,20,1929
"Ocupantes presentes (059)",11044,348,386,126,1661,17,138,98,8270
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
