"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TRUJILLO (000)",228477,2112,62856,70535,36533,15733,6385,1756,255,,32312
"Catolica (001)",173789,1437,45320,53392,29013,12751,5086,1373,204,,25213
"Cristiana / Evangelica (002)",38815,501,12563,12137,5375,2164,966,291,39,,4779
"Otra (003)",9329,77,2525,3045,1472,597,260,69,7,,1277
"Ninguna (004)",6544,97,2448,1961,673,221,73,23,5,,1043
,,,,,,,,,,,
"URBANA (006)",223374,2005,60810,69001,36022,15549,6303,1741,251,,31692
"Catolica (007)",169966,1357,43800,52263,28624,12603,5029,1361,201,,24728
"Cristiana / Evangelica (008)",37873,482,12172,11834,5285,2139,946,289,39,,4687
"Otra (009)",9183,73,2477,2993,1457,590,256,69,6,,1262
"Ninguna (010)",6352,93,2361,1911,656,217,72,22,5,,1015
,,,,,,,,,,,
"RURAL (012)",5103,107,2046,1534,511,184,82,15,4,,620
"Catolica (013)",3823,80,1520,1129,389,148,57,12,3,,485
"Cristiana / Evangelica (014)",942,19,391,303,90,25,20,2,,,92
"Otra (015)",146,4,48,52,15,7,4,,1,,15
"Ninguna (016)",192,4,87,50,17,4,1,1,,,28
