"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AREQUIPA (000)",339078,123350,64284,121225,8097,10400,11722
"Sin nivel (001)",8498,691,2387,4220,134,536,530
"Educación inicial (002)",214,32,73,64,4,9,32
"Primaria (003)",33914,2931,9986,16181,651,1688,2477
"Secundaria (004)",103478,21380,28819,41808,1875,3917,5679
"Superior no univ. incompleta (005)",32148,10903,6689,11772,618,979,1187
"Superior no univ. completa (006)",53791,25128,8661,16786,1155,1141,920
"Superior univ. incompleta (007)",31228,13836,3778,11142,963,1065,444
"Superior univ. completa (008)",75807,48449,3891,19252,2697,1065,453
"Hombres (010)",195459,63625,49163,72912,5427,3732,600
"Sin nivel (011)",2232,183,926,981,43,87,12
"Educación inicial (012)",92,14,46,29,1,2,
"Primaria (013)",16780,1334,6730,7800,372,454,90
"Secundaria (014)",65373,12256,23015,26872,1277,1625,328
"Superior no univ. incompleta (015)",19519,5899,5272,7499,401,379,69
"Superior no univ. completa (016)",29531,11889,6820,9751,720,323,28
"Superior univ. incompleta (017)",20158,8077,3172,7703,687,482,37
"Superior univ. completa (018)",41774,23973,3182,12277,1926,380,36
"Mujeres (020)",143619,59725,15121,48313,2670,6668,11122
"Sin nivel (021)",6266,508,1461,3239,91,449,518
"Educación inicial (022)",122,18,27,35,3,7,32
"Primaria (023)",17134,1597,3256,8381,279,1234,2387
"Secundaria (024)",38105,9124,5804,14936,598,2292,5351
"Superior no univ. incompleta (025)",12629,5004,1417,4273,217,600,1118
"Superior no univ. completa (026)",24260,13239,1841,7035,435,818,892
"Superior univ. incompleta (027)",11070,5759,606,3439,276,583,407
"Superior univ. completa (028)",34033,24476,709,6975,771,685,417
,,,,,,,
"URBANA (030)",329772,122562,60492,118185,7572,9328,11633
"Sin nivel (031)",7679,674,2010,3944,114,410,527
"Educación inicial (032)",190,32,54,60,3,9,32
"Primaria (033)",31499,2890,8876,15332,548,1397,2456
"Secundaria (034)",99948,21188,27231,40676,1719,3500,5634
"Superior no univ. incompleta (035)",31562,10836,6478,11589,570,908,1181
"Superior no univ. completa (036)",53016,24940,8421,16576,1097,1070,912
"Superior univ. incompleta (037)",30786,13769,3649,11002,911,1012,443
"Superior univ. completa (038)",75092,48233,3773,19006,2610,1022,448
"Hombres (040)",189110,63135,46393,70701,4993,3297,591
"Sin nivel (041)",1883,173,755,844,32,68,11
"Educación inicial (042)",78,14,35,27,,2,
"Primaria (043)",15213,1304,5975,7199,286,361,88
"Secundaria (044)",62787,12131,21776,25988,1152,1415,325
"Superior no univ. incompleta (045)",19099,5855,5098,7370,361,347,68
"Superior no univ. completa (046)",28973,11775,6614,9599,669,290,26
"Superior univ. incompleta (047)",19819,8030,3064,7591,639,458,37
"Superior univ. completa (048)",41258,23853,3076,12083,1854,356,36
"Mujeres (050)",140662,59427,14099,47484,2579,6031,11042
"Sin nivel (051)",5796,501,1255,3100,82,342,516
"Educación inicial (052)",112,18,19,33,3,7,32
"Primaria (053)",16286,1586,2901,8133,262,1036,2368
"Secundaria (054)",37161,9057,5455,14688,567,2085,5309
"Superior no univ. incompleta (055)",12463,4981,1380,4219,209,561,1113
"Superior no univ. completa (056)",24043,13165,1807,6977,428,780,886
"Superior univ. incompleta (057)",10967,5739,585,3411,272,554,406
"Superior univ. completa (058)",33834,24380,697,6923,756,666,412
,,,,,,,
"RURAL (060)",9306,788,3792,3040,525,1072,89
"Sin nivel (061)",819,17,377,276,20,126,3
"Educación inicial (062)",24,,19,4,1,,
"Primaria (063)",2415,41,1110,849,103,291,21
"Secundaria (064)",3530,192,1588,1132,156,417,45
"Superior no univ. incompleta (065)",586,67,211,183,48,71,6
"Superior no univ. completa (066)",775,188,240,210,58,71,8
"Superior univ. incompleta (067)",442,67,129,140,52,53,1
"Superior univ. completa (068)",715,216,118,246,87,43,5
"Hombres (070)",6349,490,2770,2211,434,435,9
"Sin nivel (071)",349,10,171,137,11,19,1
"Educación inicial (072)",14,,11,2,1,,
"Primaria (073)",1567,30,755,601,86,93,2
"Secundaria (074)",2586,125,1239,884,125,210,3
"Superior no univ. incompleta (075)",420,44,174,129,40,32,1
"Superior no univ. completa (076)",558,114,206,152,51,33,2
"Superior univ. incompleta (077)",339,47,108,112,48,24,
"Superior univ. completa (078)",516,120,106,194,72,24,
"Mujeres (080)",2957,298,1022,829,91,637,80
"Sin nivel (081)",470,7,206,139,9,107,2
"Educación inicial (082)",10,,8,2,,,
"Primaria (083)",848,11,355,248,17,198,19
"Secundaria (084)",944,67,349,248,31,207,42
"Superior no univ. incompleta (085)",166,23,37,54,8,39,5
"Superior no univ. completa (086)",217,74,34,58,7,38,6
"Superior univ. incompleta (087)",103,20,21,28,4,29,1
"Superior univ. completa (088)",199,96,12,52,15,19,5
