"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARHUAZ (000)",41325,10577,1148,17321,8580,858,1284,647,910
"Jefe o Jefa (001)",11200,3138,36,4931,1911,230,471,109,374
"Esposa(o)/ compa¤era(o) (002)",7602,3532,48,2656,809,82,266,52,157
"Hijo(a)/ hijastro(a) (003)",17444,2477,825,7796,4815,445,411,410,265
"Yerno/ nuera (004)",821,97,3,313,275,28,49,16,40
"Nieto(a) (005)",1798,440,175,833,286,19,13,22,10
"Padres/ suegros (006)",580,446,,118,12,,1,,3
"Otro(a) pariente (007)",1558,391,46,577,375,39,60,28,42
"Trabajador(a) del hogar (008)",50,14,3,22,10,1,,,
"Pensionista (009)",12,,,3,5,,,2,2
"Otro(a) no pariente (010)",260,42,12,72,82,14,13,8,17
"Hombres (012)",19948,3112,537,9002,5260,487,652,369,529
"Jefe o Jefa (013)",8297,1529,25,4165,1657,175,363,88,295
"Esposa(o)/ compa¤era(o) (014)",404,74,2,170,89,11,23,11,24
"Hijo(a)/ hijastro(a) (015)",8969,1098,399,3765,2890,251,199,220,147
"Yerno/ nuera (016)",348,17,,117,140,14,24,13,23
"Nieto(a) (017)",894,207,83,401,174,7,5,11,6
"Padres/ suegros (018)",121,60,,54,6,,,,1
"Otro(a) pariente (019)",761,116,23,291,241,21,30,17,22
"Trabajador(a) del hogar (020)",3,,,2,1,,,,
"Pensionista (021)",10,,,1,5,,,2,2
"Otro(a) no pariente (022)",141,11,5,36,57,8,8,7,9
"Mujeres (024)",21377,7465,611,8319,3320,371,632,278,381
"Jefe o Jefa (025)",2903,1609,11,766,254,55,108,21,79
"Esposa(o)/ compa¤era(o) (026)",7198,3458,46,2486,720,71,243,41,133
"Hijo(a)/ hijastro(a) (027)",8475,1379,426,4031,1925,194,212,190,118
"Yerno/ nuera (028)",473,80,3,196,135,14,25,3,17
"Nieto(a) (029)",904,233,92,432,112,12,8,11,4
"Padres/ suegros (030)",459,386,,64,6,,1,,2
"Otro(a) pariente (031)",797,275,23,286,134,18,30,11,20
"Trabajador(a) del hogar (032)",47,14,3,20,9,1,,,
"Pensionista (033)",2,,,2,,,,,
"Otro(a) no pariente (034)",119,31,7,36,25,6,5,1,8
,,,,,,,,,
"URBANA (036)",13969,2496,365,4858,3562,538,919,471,760
"Jefe o Jefa (037)",3955,691,13,1437,868,164,376,85,321
"Esposa(o)/ compa¤era(o) (038)",2516,801,16,785,457,64,209,41,143
"Hijo(a)/ hijastro(a) (039)",5590,601,248,2013,1748,242,242,286,210
"Yerno/ nuera (040)",271,12,,74,94,17,32,12,30
"Nieto(a) (041)",579,134,54,247,105,9,8,16,6
"Padres/ suegros (042)",200,122,,64,12,,1,,1
"Otro(a) pariente (043)",626,106,24,175,198,28,40,22,33
"Trabajador(a) del hogar (044)",36,10,2,13,10,1,,,
"Pensionista (045)",10,,,3,4,,,2,1
"Otro(a) no pariente (046)",186,19,8,47,66,13,11,7,15
"Hombres (048)",6734,697,173,2429,2012,277,463,255,428
