"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHEROS (000)",11857,9671,824,616,746
"Hombres (001)",9377,7761,655,457,504
"Mujeres (002)",2480,1910,169,159,242
"De 06 a 14 años (003)",163,148,12,2,1
"Hombres (004)",131,117,11,2,1
"Mujeres (005)",32,31,1,,
"De 15 a 29 años (006)",3272,2651,260,153,208
"Hombres (007)",2525,2089,198,117,121
"Mujeres (008)",747,562,62,36,87
"De 30 a 44 años (009)",4332,3295,351,283,403
"Hombres (010)",3331,2593,270,198,270
"Mujeres (011)",1001,702,81,85,133
"De 45 a 64 años (012)",3063,2603,167,163,130
"Hombres (013)",2506,2129,144,125,108
"Mujeres (014)",557,474,23,38,22
"De 65 y más años (015)",1027,974,34,15,4
"Hombres (016)",884,833,32,15,4
"Mujeres (017)",143,141,2,,
,,,,,
"URBANA (018)",4796,3392,393,403,608
"Hombres (019)",3258,2312,268,273,405
"Mujeres (020)",1538,1080,125,130,203
"De 06 a 14 años (021)",67,65,2,,
"Hombres (022)",43,42,1,,
"Mujeres (023)",24,23,1,,
"De 15 a 29 años (024)",1224,866,113,85,160
"Hombres (025)",797,578,70,58,91
"Mujeres (026)",427,288,43,27,69
"De 30 a 44 años (027)",2041,1297,188,215,341
"Hombres (028)",1344,855,122,142,225
"Mujeres (029)",697,442,66,73,116
"De 45 a 64 años (030)",1165,876,84,102,103
"Hombres (031)",843,616,70,72,85
"Mujeres (032)",322,260,14,30,18
"De 65 y más años (033)",299,288,6,1,4
"Hombres (034)",231,221,5,1,4
"Mujeres (035)",68,67,1,,
,,,,,
"RURAL (036)",7061,6279,431,213,138
"Hombres (037)",6119,5449,387,184,99
"Mujeres (038)",942,830,44,29,39
"De 06 a 14 años (039)",96,83,10,2,1
"Hombres (040)",88,75,10,2,1
"Mujeres (041)",8,8,,,
"De 15 a 29 años (042)",2048,1785,147,68,48
"Hombres (043)",1728,1511,128,59,30
"Mujeres (044)",320,274,19,9,18
"De 30 a 44 años (045)",2291,1998,163,68,62
"Hombres (046)",1987,1738,148,56,45
"Mujeres (047)",304,260,15,12,17
"De 45 a 64 años (048)",1898,1727,83,61,27
"Hombres (049)",1663,1513,74,53,23
"Mujeres (050)",235,214,9,8,4
"De 65 y más años (051)",728,686,28,14,
"Hombres (052)",653,612,27,14,
"Mujeres (053)",75,74,1,,
