"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CORONEL PORTILLO (000)",4742,156,2519,1263,648,156
"Sin nivel (001)",79,6,17,20,21,15
"Educación inicial (002)",10,1,6,3,,
"Primaria (003)",1027,86,302,276,258,105
"Secundaria (004)",2479,63,1507,609,273,27
"Superior no univ. incompleta (005)",343,,224,90,26,3
"Superior no univ. completa (006)",386,,216,141,25,4
"Superior univ. incompleta (007)",185,,131,39,14,1
"Superior univ. completa (008)",233,,116,85,31,1
"Hombres (010)",3089,103,1528,821,505,132
"Sin nivel (011)",41,2,10,10,7,12
"Educación inicial (012)",4,1,2,1,,
"Primaria (013)",716,57,200,181,191,87
"Secundaria (014)",1667,43,942,430,227,25
"Superior no univ. incompleta (015)",212,,135,53,21,3
"Superior no univ. completa (016)",198,,105,72,18,3
"Superior univ. incompleta (017)",124,,82,27,14,1
"Superior univ. completa (018)",127,,52,47,27,1
"Mujeres (020)",1653,53,991,442,143,24
"Sin nivel (021)",38,4,7,10,14,3
"Educación inicial (022)",6,,4,2,,
"Primaria (023)",311,29,102,95,67,18
"Secundaria (024)",812,20,565,179,46,2
"Superior no univ. incompleta (025)",131,,89,37,5,
"Superior no univ. completa (026)",188,,111,69,7,1
"Superior univ. incompleta (027)",61,,49,12,,
"Superior univ. completa (028)",106,,64,38,4,
,,,,,,
"Area Urbana (030)",4349,127,2295,1190,599,138
"Sin nivel (031)",58,3,12,18,17,8
"Educación inicial (032)",8,,6,2,,
"Primaria (033)",841,64,218,236,228,95
"Secundaria (034)",2316,60,1387,584,259,26
"Superior no univ. incompleta (035)",337,,218,90,26,3
"Superior no univ. completa (036)",379,,212,139,24,4
"Superior univ. incompleta (037)",181,,128,38,14,1
"Superior univ. completa (038)",229,,114,83,31,1
"Hombres (040)",2800,88,1369,764,464,115
"Sin nivel (041)",33,2,9,10,6,6
"Educación inicial (042)",3,,2,1,,
"Primaria (043)",571,45,136,149,164,77
"Secundaria (044)",1546,41,860,407,214,24
"Superior no univ. incompleta (045)",206,,129,53,21,3
"Superior no univ. completa (046)",194,,102,71,18,3
"Superior univ. incompleta (047)",122,,80,27,14,1
"Superior univ. completa (048)",125,,51,46,27,1
"Mujeres (050)",1549,39,926,426,135,23
"Sin nivel (051)",25,1,3,8,11,2
"Educación inicial (052)",5,,4,1,,
"Primaria (053)",270,19,82,87,64,18
"Secundaria (054)",770,19,527,177,45,2
"Superior no univ. incompleta (055)",131,,89,37,5,
"Superior no univ. completa (056)",185,,110,68,6,1
"Superior univ. incompleta (057)",59,,48,11,,
"Superior univ. completa (058)",104,,63,37,4,
,,,,,,
"Area Rural (060)",393,29,224,73,49,18
"Sin nivel (061)",21,3,5,2,4,7
"Educación inicial (062)",2,1,,1,,
"Primaria (063)",186,22,84,40,30,10
"Secundaria (064)",163,3,120,25,14,1
"Superior no univ. incompleta (065)",6,,6,,,
"Superior no univ. completa (066)",7,,4,2,1,
"Superior univ. incompleta (067)",4,,3,1,,
"Superior univ. completa (068)",4,,2,2,,
"Hombres (070)",289,15,159,57,41,17
"Sin nivel (071)",8,,1,,1,6
"Educación inicial (072)",1,1,,,,
"Primaria (073)",145,12,64,32,27,10
"Secundaria (074)",121,2,82,23,13,1
"Superior no univ. incompleta (075)",6,,6,,,
"Superior no univ. completa (076)",4,,3,1,,
"Superior univ. incompleta (077)",2,,2,,,
"Superior univ. completa (078)",2,,1,1,,
"Mujeres (080)",104,14,65,16,8,1
"Sin nivel (081)",13,3,4,2,3,1
"Educación inicial (082)",1,,,1,,
"Primaria (083)",41,10,20,8,3,
"Secundaria (084)",42,1,38,2,1,
"Superior no univ. completa (086)",3,,1,1,1,
"Superior univ. incompleta (087)",2,,1,1,,
"Superior univ. completa (088)",2,,1,1,,
