"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",15812,1275,404,6430,5454,597,814,339,499
"Quechua (001)",8,,,1,7,,,,
"Aymara (002)",5,2,,2,1,,,,
"Ashaninca (003)",2,,,1,,1,,,
"Castellano (005)",15766,1262,404,6420,5441,596,811,338,494
"Idioma extranjero (006)",12,,,1,2,,3,1,5
"Es sordomudo/a (007)",19,11,,5,3,,,,
"Hombres (009)",8361,600,206,3285,3114,281,387,191,297
"Quechua (010)",3,,,1,2,,,,
"Aymara (011)",4,1,,2,1,,,,
"Ashaninca (012)",2,,,1,,1,,,
"Castellano (014)",8331,591,206,3276,3110,280,386,190,292
"Idioma extranjero (015)",8,,,1,,,1,1,5
"Es sordomudo/a (016)",13,8,,4,1,,,,
"Mujeres (018)",7451,675,198,3145,2340,316,427,148,202
"Quechua (019)",5,,,,5,,,,
"Aymara (020)",1,1,,,,,,,
"Castellano (023)",7435,671,198,3144,2331,316,425,148,202
"Idioma extranjero (024)",4,,,,2,,2,,
"Es sordomudo/a (025)",6,3,,1,2,,,,
,,,,,,,,,
"URBANA (027)",12349,986,325,4767,4327,518,691,291,444
"Quechua (028)",4,,,,4,,,,
"Aymara (029)",5,2,,2,1,,,,
"Ashaninca (030)",2,,,1,,1,,,
"Castellano (032)",12320,978,325,4760,4320,517,689,290,441
"Idioma extranjero (033)",6,,,,,,2,1,3
"Es sordomudo/a (034)",12,6,,4,2,,,,
"Hombres (036)",6468,456,166,2412,2427,243,334,161,269
"Quechua (037)",1,,,,1,,,,
"Aymara (038)",4,1,,2,1,,,,
"Ashaninca (039)",2,,,1,,1,,,
"Castellano (041)",6449,452,166,2406,2424,242,333,160,266
"Idioma extranjero (042)",5,,,,,,1,1,3
"Es sordomudo/a (043)",7,3,,3,1,,,,
"Mujeres (045)",5881,530,159,2355,1900,275,357,130,175
"Quechua (046)",3,,,,3,,,,
"Aymara (047)",1,1,,,,,,,
"Castellano (050)",5871,526,159,2354,1896,275,356,130,175
"Idioma extranjero (051)",1,,,,,,1,,
"Es sordomudo/a (052)",5,3,,1,1,,,,
,,,,,,,,,
"RURAL (054)",3463,289,79,1663,1127,79,123,48,55
"Quechua (055)",4,,,1,3,,,,
"Castellano (059)",3446,284,79,1660,1121,79,122,48,53
"Idioma extranjero (060)",6,,,1,2,,1,,2
"Es sordomudo/a (061)",7,5,,1,1,,,,
"Hombres (063)",1893,144,40,873,687,38,53,30,28
"Quechua (064)",2,,,1,1,,,,
"Castellano (068)",1882,139,40,870,686,38,53,30,26
"Idioma extranjero (069)",3,,,1,,,,,2
"Es sordomudo/a (070)",6,5,,1,,,,,
"Mujeres (072)",1570,145,39,790,440,41,70,18,27
"Quechua (073)",2,,,,2,,,,
"Castellano (077)",1564,145,39,790,435,41,69,18,27
"Idioma extranjero (078)",3,,,,2,,1,,
"Es sordomudo/a (079)",1,,,,1,,,,
