"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUAYTARA",,,,,,,,,
"Viviendas particulares (001)",166,113,14,6,23,1,,,9
"Ocupantes presentes (002)",541,368,52,26,67,3,,,25
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",161,110,14,6,21,1,,,9
"Ocupantes presentes (005)",519,350,52,26,63,3,,,25
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,,,,1,,,,
"Ocupantes presentes (011)",2,,,,2,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",4,3,,,1,,,,
"Ocupantes presentes (017)",20,18,,,2,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",111,69,11,6,19,1,,,5
"Ocupantes presentes (029)",369,215,42,26,62,3,,,21
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",110,69,11,6,18,1,,,5
"Ocupantes presentes (032)",367,215,42,26,60,3,,,21
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,,,,1,,,,
"Ocupantes presentes (038)",2,,,,2,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",55,44,3,,4,,,,4
"Ocupantes presentes (056)",172,153,10,,5,,,,4
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",51,41,3,,3,,,,4
"Ocupantes presentes (059)",152,135,10,,3,,,,4
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",4,3,,,1,,,,
"Ocupantes presentes (071)",20,18,,,2,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
