"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARABAYA (000)",16746,47,179,561,1400,3212,7537,3810
"De 12 a 14 años (001)",31,,,,,,3,28
"De 15 a 19 años (002)",508,,,,,,368,140
"De 20 a 24 años (003)",2059,,,,,,1375,684
"De 25 a 29 años (004)",2594,,,,,84,1831,679
"De 30 a 34 años (005)",2243,,,,1,323,1520,399
"De 35 a 39 años (006)",2133,,,,21,599,1210,303
"De 40 a 44 años (007)",1694,,,1,71,606,795,221
"De 45 a 49 años (008)",1292,,,1,136,605,364,186
"De 50 y más años (009)",4192,47,179,559,1171,995,71,1170
"PEA (010)",7727,9,40,216,627,1746,3357,1732
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",210,,,,,,155,55
"De 20 a 24 años (013)",899,,,,,,557,342
"De 25 a 29 años (014)",1186,,,,,44,819,323
"De 30 a 34 años (015)",1083,,,,,181,684,218
"De 35 a 39 años (016)",1134,,,,11,354,594,175
"De 40 a 44 años (017)",846,,,1,37,341,341,126
"De 45 a 49 años (018)",643,,,1,69,308,173,92
"De 50 y más años (019)",1721,9,40,214,510,518,34,396
"Ocupada (020)",7436,9,40,213,615,1705,3245,1609
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",197,,,,,,145,52
"De 20 a 24 años (023)",834,,,,,,531,303
"De 25 a 29 años (024)",1122,,,,,43,795,284
"De 30 a 34 años (025)",1037,,,,,174,660,203
"De 35 a 39 años (026)",1096,,,,11,343,575,167
"De 40 a 44 años (027)",828,,,1,36,335,334,122
"De 45 a 49 años (028)",627,,,1,68,300,171,87
"De 50 y más años (029)",1690,9,40,211,500,510,34,386
"Desocupada (030)",291,,,3,12,41,112,123
"De 15 a 19 años (032)",13,,,,,,10,3
"De 20 a 24 años (033)",65,,,,,,26,39
"De 25 a 29 años (034)",64,,,,,1,24,39
"De 30 a 34 años (035)",46,,,,,7,24,15
"De 35 a 39 años (036)",38,,,,,11,19,8
"De 40 a 44 años (037)",18,,,,1,6,7,4
"De 45 a 49 años (038)",16,,,,1,8,2,5
"De 50 y más años (039)",31,,,3,10,8,,10
"No PEA (040)",9019,38,139,345,773,1466,4180,2078
"De 12 a 14 años (041)",26,,,,,,3,23
"De 15 a 19 años (042)",298,,,,,,213,85
"De 20 a 24 años (043)",1160,,,,,,818,342
"De 25 a 29 años (044)",1408,,,,,40,1012,356
"De 30 a 34 años (045)",1160,,,,1,142,836,181
"De 35 a 39 años (046)",999,,,,10,245,616,128
"De 40 a 44 años (047)",848,,,,34,265,454,95
