"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CONDESUYOS",,,,,,,
"Viviendas particulares (001)",5412,770,737,172,2921,675,137
"Ocupantes presentes (002)",17146,2267,2232,628,9750,1852,417
"Casa independiente",,,,,,,
"Viviendas particulares (004)",4210,677,85,168,2528,639,113
"Ocupantes presentes (005)",13482,2016,295,620,8439,1763,349
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",12,8,,1,2,,1
"Ocupantes presentes (011)",38,14,,3,19,,2
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",50,27,,,8,14,1
"Ocupantes presentes (014)",127,68,,,16,42,1
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1114,54,652,2,382,4,20
"Ocupantes presentes (017)",3440,163,1937,2,1273,4,61
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",12,1,,,,10,1
"Ocupantes presentes (020)",30,3,,,,24,3
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",13,3,,,1,8,1
"Ocupantes presentes (023)",26,3,,,3,19,1
"Otro tipo",,,,,,,
"Viviendas particulares (025)",1,,,1,,,
"Ocupantes presentes (026)",3,,,3,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2403,496,14,137,1076,614,66
"Ocupantes presentes (029)",7555,1422,44,512,3694,1679,204
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2321,457,14,136,1066,585,63
"Ocupantes presentes (032)",7350,1334,44,509,3659,1606,198
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",12,8,,1,2,,1
"Ocupantes presentes (038)",38,14,,3,19,,2
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",50,27,,,8,14,1
"Ocupantes presentes (041)",127,68,,,16,42,1
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",12,1,,,,10,1
"Ocupantes presentes (047)",30,3,,,,24,3
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,3,,,,5,
"Ocupantes presentes (050)",10,3,,,,7,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",3009,274,723,35,1845,61,71
"Ocupantes presentes (056)",9591,845,2188,116,6056,173,213
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1889,220,71,32,1462,54,50
"Ocupantes presentes (059)",6132,682,251,111,4780,157,151
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1114,54,652,2,382,4,20
"Ocupantes presentes (071)",3440,163,1937,2,1273,4,61
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",5,,,,1,3,1
"Ocupantes presentes (077)",16,,,,3,12,1
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,1,,,
"Ocupantes presentes (080)",3,,,3,,,
