"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANAS (000)",9607,66,3553,3428,1062,318,134,44,13,,989
"Catolica (001)",7456,50,2737,2663,846,254,108,36,9,,753
"Cristiana / Evangelica (002)",1787,12,685,648,174,50,22,6,3,,187
"Otra (003)",247,3,88,78,31,12,4,1,1,,29
"Ninguna (004)",117,1,43,39,11,2,,1,,,20
,,,,,,,,,,,
"URBANA (006)",1580,13,549,513,231,56,29,6,4,,179
"Catolica (007)",1372,10,476,443,203,51,24,5,4,,156
"Cristiana / Evangelica (008)",143,2,53,49,23,1,4,,,,11
"Otra (009)",39,1,12,10,4,3,1,1,,,7
"Ninguna (010)",26,,8,11,1,1,,,,,5
,,,,,,,,,,,
"RURAL (012)",8027,53,3004,2915,831,262,105,38,9,,810
"Catolica (013)",6084,40,2261,2220,643,203,84,31,5,,597
"Cristiana / Evangelica (014)",1644,10,632,599,151,49,18,6,3,,176
"Otra (015)",208,2,76,68,27,9,3,,1,,22
"Ninguna (016)",91,1,35,28,10,1,,1,,,15
