"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AIJA (000)",2185,30,846,826,207,64,25,13,2,,172
"Conviviente (001)",710,10,309,250,56,18,6,4,,,57
"Separado(a) (002)",114,,38,44,13,5,1,,,,13
"Casado(a) (003)",885,11,345,355,94,25,11,3,2,,39
"Viudo(a) (004)",256,4,88,110,26,11,4,2,,,11
"Divorciado(a) (005)",6,1,2,3,,,,,,,
"Soltero(a) (006)",214,4,64,64,18,5,3,4,,,52
,,,,,,,,,,,
"URBANA (008)",744,10,235,308,83,31,13,8,2,,54
"Conviviente (009)",234,4,83,86,23,11,5,2,,,20
"Separado(a) (010)",37,,8,19,6,2,,,,,2
"Casado(a) (011)",302,4,99,125,39,14,3,2,2,,14
"Viudo(a) (012)",91,2,27,44,9,3,2,1,,,3
"Divorciado(a) (013)",1,,,1,,,,,,,
"Soltero(a) (014)",79,,18,33,6,1,3,3,,,15
,,,,,,,,,,,
"RURAL (016)",1441,20,611,518,124,33,12,5,,,118
"Conviviente (017)",476,6,226,164,33,7,1,2,,,37
"Separado(a) (018)",77,,30,25,7,3,1,,,,11
"Casado(a) (019)",583,7,246,230,55,11,8,1,,,25
"Viudo(a) (020)",165,2,61,66,17,8,2,1,,,8
"Divorciado(a) (021)",5,1,2,2,,,,,,,
"Soltero(a) (022)",135,4,46,31,12,4,,1,,,37
