"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GRAU (000)",23324,10323,1970,243,10810
"Quechua (001)",18958,8297,937,148,9588
"Aymara (002)",52,11,8,1,32
"Asháninka (003)",2,1,1,,
"Otra lengua nativa (004)",12,,,1,11
"Castellano (005)",4239,1993,1024,90,1142
"Idioma Extranjero (006)",6,,,3,3
"Es Sordomudo/a (007)",55,21,,,34
"Hombres (009)",11872,4959,1014,133,5777
"Quechua (010)",9633,3924,509,76,5131
"Aymara (011)",25,6,6,,13
"Asháninka (012)",2,1,1,,
"Otra lengua nativa (013)",7,,,1,6
"Castellano (014)",2173,1016,498,55,608
"Idioma Extranjero (015)",2,,,1,1
"Es Sordomudo/a (016)",30,12,,,18
"Mujeres (018)",11452,5364,956,110,5033
"Quechua (019)",9325,4373,428,72,4457
"Aymara (020)",27,5,2,1,19
"Otra lengua nativa (022)",5,,,,5
"Castellano (023)",2066,977,526,35,534
"Idioma Extranjero (024)",4,,,2,2
"Es Sordomudo/a (025)",25,9,,,16
,,,,,
"URBANA (027)",9323,3494,1509,146,4186
"Quechua (028)",6068,2104,629,59,3280
"Aymara (029)",37,5,8,1,23
"Asháninka (030)",2,1,1,,
"Otra lengua nativa (031)",11,,,1,10
"Castellano (032)",3180,1376,871,82,859
"Idioma Extranjero (033)",6,,,3,3
"Es Sordomudo/a (034)",19,8,,,11
"Hombres (036)",4620,1673,746,86,2121
"Quechua (037)",3016,973,345,32,1668
"Aymara (038)",19,2,6,,11
"Asháninka (039)",2,1,1,,
"Otra lengua nativa (040)",7,,,1,6
"Castellano (041)",1564,693,394,52,429
"Idioma Extranjero (042)",2,,,1,1
"Es Sordomudo/a (043)",10,4,,,6
"Mujeres (045)",4703,1821,763,60,2065
"Quechua (046)",3052,1131,284,27,1612
"Aymara (047)",18,3,2,1,12
"Otra lengua nativa (049)",4,,,,4
"Castellano (050)",1616,683,477,30,430
"Idioma Extranjero (051)",4,,,2,2
"Es Sordomudo/a (052)",9,4,,,5
,,,,,
"RURAL (054)",14001,6829,461,97,6624
"Quechua (055)",12890,6193,308,89,6308
"Aymara (056)",15,6,,,9
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",1059,617,153,8,283
"Es Sordomudo/a (061)",36,13,,,23
"Hombres (063)",7252,3286,268,47,3656
"Quechua (064)",6617,2951,164,44,3463
"Aymara (065)",6,4,,,2
"Castellano (068)",609,323,104,3,179
"Es Sordomudo/a (070)",20,8,,,12
"Mujeres (072)",6749,3543,193,50,2968
"Quechua (073)",6273,3242,144,45,2845
"Aymara (074)",9,2,,,7
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",450,294,49,5,104
"Es Sordomudo/a (079)",16,5,,,11
