"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia PUERTO INCA",,,,,,,,,
"Viviendas particulares (001)",7097,3456,1980,837,505,165,68,30,56
"Ocupantes presentes (002)",30810,13677,8743,4013,2590,855,350,179,403
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4511,1803,1331,653,427,143,68,30,56
"Ocupantes presentes (005)",19746,7025,5803,3104,2162,720,350,179,403
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",6,4,,1,,1,,,
"Ocupantes presentes (011)",11,8,,1,,2,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",13,6,4,3,,,,,
"Ocupantes presentes (014)",41,17,14,10,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2546,1628,640,179,78,21,,,
"Ocupantes presentes (017)",10944,6574,2912,897,428,133,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,4,4,,,,,,
"Ocupantes presentes (020)",31,19,12,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,5,1,1,,,,,
"Ocupantes presentes (023)",19,16,2,1,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,6,,,,,,,
"Ocupantes presentes (026)",18,18,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1338,330,372,259,196,75,39,23,44
"Ocupantes presentes (029)",5982,1206,1584,1171,957,371,213,147,333
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1309,314,364,255,196,74,39,23,44
"Ocupantes presentes (032)",5886,1149,1558,1160,957,369,213,147,333
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",6,4,,1,,1,,,
"Ocupantes presentes (038)",11,8,,1,,2,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",13,6,4,3,,,,,
"Ocupantes presentes (041)",41,17,14,10,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,4,4,,,,,,
"Ocupantes presentes (047)",31,19,12,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,2,,,,,,,
"Ocupantes presentes (050)",13,13,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5759,3126,1608,578,309,90,29,7,12
"Ocupantes presentes (056)",24828,12471,7159,2842,1633,484,137,32,70
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3202,1489,967,398,231,69,29,7,12
"Ocupantes presentes (059)",13860,5876,4245,1944,1205,351,137,32,70
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2546,1628,640,179,78,21,,,
"Ocupantes presentes (071)",10944,6574,2912,897,428,133,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,3,1,1,,,,,
"Ocupantes presentes (077)",6,3,2,1,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",6,6,,,,,,,
"Ocupantes presentes (080)",18,18,,,,,,,
