"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LIMA (000)",3286770,19394,1141672,1246213,782778,96713
"Empleado (001)",1415612,4129,530423,559286,298356,23418
"Obrero (002)",504127,2301,230245,174137,87693,9751
"Trabajador independiente (003)",1069703,4067,268584,417622,327076,52354
"Empleador o patrono (004)",71884,49,14958,28804,23878,4195
"Trabajador familiar no remunerado (005)",71527,6936,24173,19866,16311,4241
"Trabajador del hogar (006)",153917,1912,73289,46498,29464,2754
"Hombres (008)",1947635,11111,650707,733625,483928,68264
"Empleado (009)",770266,2348,266938,306213,177929,16838
"Obrero (010)",408539,1833,181635,140650,75513,8908
"Trabajador independiente (011)",688283,2702,178014,261674,208892,37001
"Empleador o patrono (012)",48095,27,9414,18893,16564,3197
"Trabajador familiar no remunerado (013)",25207,3951,11377,4406,3556,1917
"Trabajador del hogar (014)",7245,250,3329,1789,1474,403
"Mujeres (016)",1339135,8283,490965,512588,298850,28449
"Empleado (017)",645346,1781,263485,253073,120427,6580
"Obrero (018)",95588,468,48610,33487,12180,843
"Trabajador independiente (019)",381420,1365,90570,155948,118184,15353
"Empleador o patrono (020)",23789,22,5544,9911,7314,998
"Trabajador familiar no remunerado (021)",46320,2985,12796,15460,12755,2324
"Trabajador del hogar (022)",146672,1662,69960,44709,27990,2351
,,,,,,
"URBANA (024)",3282559,19339,1140121,1244731,781891,96477
"Empleado (025)",1415201,4127,530260,559118,298287,23409
"Obrero (026)",502690,2293,229567,173644,87469,9717
"Trabajador independiente (027)",1067973,4063,268169,416964,326588,52189
"Empleador o patrono (028)",71814,49,14945,28785,23850,4185
"Trabajador familiar no remunerado (029)",71062,6896,23945,19749,16246,4226
"Trabajador del hogar (030)",153819,1911,73235,46471,29451,2751
"Hombres (032)",1944637,11074,649614,732567,483296,68086
"Empleado (033)",770019,2347,266855,306103,177881,16833
"Obrero (034)",407412,1828,181111,140266,75328,8879
"Trabajador independiente (035)",686965,2698,177693,261174,208530,36870
"Empleador o patrono (036)",48040,27,9405,18877,16543,3188
"Trabajador familiar no remunerado (037)",24966,3924,11226,4360,3542,1914
"Trabajador del hogar (038)",7235,250,3324,1787,1472,402
"Mujeres (040)",1337922,8265,490507,512164,298595,28391
"Empleado (041)",645182,1780,263405,253015,120406,6576
"Obrero (042)",95278,465,48456,33378,12141,838
"Trabajador independiente (043)",381008,1365,90476,155790,118058,15319
"Empleador o patrono (044)",23774,22,5540,9908,7307,997
"Trabajador familiar no remunerado (045)",46096,2972,12719,15389,12704,2312
"Trabajador del hogar (046)",146584,1661,69911,44684,27979,2349
,,,,,,
"RURAL (048)",4211,55,1551,1482,887,236
"Empleado (049)",411,2,163,168,69,9
"Obrero (050)",1437,8,678,493,224,34
"Trabajador independiente (051)",1730,4,415,658,488,165
"Empleador o patrono (052)",70,,13,19,28,10
"Trabajador familiar no remunerado (053)",465,40,228,117,65,15
"Trabajador del hogar (054)",98,1,54,27,13,3
"Hombres (056)",2998,37,1093,1058,632,178
"Empleado (057)",247,1,83,110,48,5
"Obrero (058)",1127,5,524,384,185,29
"Trabajador independiente (059)",1318,4,321,500,362,131
"Empleador o patrono (060)",55,,9,16,21,9
"Trabajador familiar no remunerado (061)",241,27,151,46,14,3
"Trabajador del hogar (062)",10,,5,2,2,1
"Mujeres (064)",1213,18,458,424,255,58
"Empleado (065)",164,1,80,58,21,4
"Obrero (066)",310,3,154,109,39,5
"Trabajador independiente (067)",412,,94,158,126,34
"Empleador o patrono (068)",15,,4,3,7,1
"Trabajador familiar no remunerado (069)",224,13,77,71,51,12
"Trabajador del hogar (070)",88,1,49,25,11,2
