"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CORONEL PORTILLO (000)",258,246,12
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",154,153,1
"Casa pensión (003)",13,13,
"Hospital, clinica (004)",12,11,1
"Cárcel, centro de readaptación social (005)",2,1,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",64,58,6
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",12,9,3
