"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MIGUEL (000)",16091,300,6107,5107,1728,642,266,96,11,,1834
"Catolica (001)",12086,231,4518,3807,1328,517,208,68,7,,1402
"Cristiana / Evangelica (002)",3253,51,1290,1063,333,100,48,22,3,,343
"Otra (003)",379,5,144,126,38,16,5,4,1,,40
"Ninguna (004)",373,13,155,111,29,9,5,2,,,49
,,,,,,,,,,,
"URBANA (006)",2667,38,873,817,379,167,54,28,4,,307
"Catolica (007)",2095,28,658,650,322,133,44,24,4,,232
"Cristiana / Evangelica (008)",487,9,187,140,50,27,9,2,,,63
"Otra (009)",49,,15,18,4,4,,1,,,7
"Ninguna (010)",36,1,13,9,3,3,1,1,,,5
,,,,,,,,,,,
"RURAL (012)",13424,262,5234,4290,1349,475,212,68,7,,1527
"Catolica (013)",9991,203,3860,3157,1006,384,164,44,3,,1170
"Cristiana / Evangelica (014)",2766,42,1103,923,283,73,39,20,3,,280
"Otra (015)",330,5,129,108,34,12,5,3,1,,33
"Ninguna (016)",337,12,142,102,26,6,4,1,,,44
