"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TALARA (000)",121206,8651,3624,36298,41548,7154,11571,4841,7519
"Quechua (001)",83,6,2,19,31,6,8,2,9
"Aymara (002)",26,2,1,5,8,4,5,,1
"Ashaninca (003)",14,,1,6,1,1,2,2,1
"Otra lengua nativa (004)",145,12,8,39,41,16,23,2,4
"Castellano (005)",120672,8560,3595,36197,41441,7123,11514,4820,7422
"Idioma extranjero (006)",136,2,2,2,13,3,18,15,81
"Es sordomudo/a (007)",130,69,15,30,13,1,1,,1
"Hombres (009)",60813,4071,1826,16748,22362,3621,5554,2611,4020
"Quechua (010)",39,,,11,14,3,5,1,5
"Aymara (011)",14,2,,2,3,3,3,,1
"Ashaninca (012)",5,,,2,,,2,1,
"Otra lengua nativa (013)",77,7,4,21,23,4,15,2,1
"Castellano (014)",60533,4023,1811,16696,22309,3609,5519,2600,3966
"Idioma extranjero (015)",75,2,1,1,7,1,10,7,46
"Es sordomudo/a (016)",70,37,10,15,6,1,,,1
"Mujeres (018)",60393,4580,1798,19550,19186,3533,6017,2230,3499
"Quechua (019)",44,6,2,8,17,3,3,1,4
"Aymara (020)",12,,1,3,5,1,2,,
"Ashaninca (021)",9,,1,4,1,1,,1,1
"Otra lengua nativa (022)",68,5,4,18,18,12,8,,3
"Castellano (023)",60139,4537,1784,19501,19132,3514,5995,2220,3456
"Idioma extranjero (024)",61,,1,1,6,2,8,8,35
"Es sordomudo/a (025)",60,32,5,15,7,,1,,
,,,,,,,,,
"URBANA (027)",118842,8435,3567,35157,41005,7085,11477,4791,7325
"Quechua (028)",80,6,2,19,30,6,8,2,7
"Aymara (029)",26,2,1,5,8,4,5,,1
"Ashaninca (030)",14,,1,6,1,1,2,2,1
"Otra lengua nativa (031)",145,12,8,39,41,16,23,2,4
"Castellano (032)",118354,8347,3539,35057,40902,7056,11424,4773,7256
"Idioma extranjero (033)",97,2,2,1,10,1,14,12,55
"Es sordomudo/a (034)",126,66,14,30,13,1,1,,1
"Hombres (036)",59506,3972,1794,16154,21991,3585,5515,2584,3911
"Quechua (037)",36,,,11,13,3,5,1,3
"Aymara (038)",14,2,,2,3,3,3,,1
"Ashaninca (039)",5,,,2,,,2,1,
"Otra lengua nativa (040)",77,7,4,21,23,4,15,2,1
"Castellano (041)",59249,3927,1780,16102,21941,3574,5480,2574,3871
"Idioma extranjero (042)",59,2,1,1,5,,10,6,34
"Es sordomudo/a (043)",66,34,9,15,6,1,,,1
"Mujeres (045)",59336,4463,1773,19003,19014,3500,5962,2207,3414
"Quechua (046)",44,6,2,8,17,3,3,1,4
"Aymara (047)",12,,1,3,5,1,2,,
"Ashaninca (048)",9,,1,4,1,1,,1,1
"Otra lengua nativa (049)",68,5,4,18,18,12,8,,3
"Castellano (050)",59105,4420,1759,18955,18961,3482,5944,2199,3385
"Idioma extranjero (051)",38,,1,,5,1,4,6,21
"Es sordomudo/a (052)",60,32,5,15,7,,1,,
,,,,,,,,,
"RURAL (054)",2364,216,57,1141,543,69,94,50,194
"Quechua (055)",3,,,,1,,,,2
"Castellano (059)",2318,213,56,1140,539,67,90,47,166
"Idioma extranjero (060)",39,,,1,3,2,4,3,26
"Es sordomudo/a (061)",4,3,1,,,,,,
"Hombres (063)",1307,99,32,594,371,36,39,27,109
"Quechua (064)",3,,,,1,,,,2
"Castellano (068)",1284,96,31,594,368,35,39,26,95
"Idioma extranjero (069)",16,,,,2,1,,1,12
"Es sordomudo/a (070)",4,3,1,,,,,,
"Mujeres (072)",1057,117,25,547,172,33,55,23,85
"Castellano (077)",1034,117,25,546,171,32,51,21,71
"Idioma extranjero (078)",23,,,1,1,1,4,2,14
