"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GRAN CHIMU (000)",10194,9858,2731,1346,1297,1038,1467,965,602,412,336,29458
"De 12 a 14 años (001)",1054,1048,1040,7,1,,,,,,6,9
"De 15 a 19 años (002)",1313,1292,1043,210,34,3,2,,,,21,295
"De 20 a 24 años (003)",1013,920,239,398,188,75,17,3,,,93,1089
"De 25 a 29 años (004)",966,904,113,253,269,169,92,8,,,62,1738
"De 30 a 34 años (005)",942,895,62,147,250,188,193,50,4,1,47,2420
"De 35 a 39 años (006)",877,854,42,92,186,169,232,98,29,6,23,2937
"De 40 a 44 años (007)",796,773,35,72,124,147,208,118,51,18,23,3052
"De 45 a 49 años (008)",720,704,32,42,90,97,190,144,70,39,16,3297
"De 50 y más años (009)",2513,2468,125,125,155,190,533,544,448,348,45,14621
"PEA (010)",1506,1394,335,278,252,173,194,83,51,28,112,3429
"De 12 a 14 años (011)",24,24,22,1,1,,,,,,,3
"De 15 a 19 años (012)",124,123,105,17,,,1,,,,1,21
"De 20 a 24 años (013)",174,144,68,56,12,5,3,,,,30,107
"De 25 a 29 años (014)",180,151,53,43,33,19,3,,,,29,178
"De 30 a 34 años (015)",209,182,26,51,55,24,23,3,,,27,351
"De 35 a 39 años (016)",189,182,17,39,54,35,32,4,,1,7,431
"De 40 a 44 años (017)",183,177,9,22,43,37,44,13,7,2,6,573
"De 45 a 49 años (018)",160,158,12,17,29,27,38,20,11,4,2,589
"De 50 y más años (019)",263,253,23,32,25,26,50,43,33,21,10,1176
"Ocupada (020)",1449,1343,297,271,248,173,192,83,51,28,106,3405
"De 12 a 14 años (021)",16,16,14,1,1,,,,,,,3
"De 15 a 19 años (022)",106,105,88,16,,,1,,,,1,20
