"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PICOTA (000)",37721,788,12521,9803,7702,5063,1844
"Hombres (001)",20001,392,6474,5044,4222,2944,925
"Mujeres (002)",17720,396,6047,4759,3480,2119,919
"Viviendas particulares (003)",37420,784,12496,9703,7603,5000,1834
"Hombres (004)",19798,391,6463,4977,4155,2892,920
"Mujeres (005)",17622,393,6033,4726,3448,2108,914
"Viviendas colectivas (006)",114,4,13,33,33,23,8
"Hombres (007)",66,1,7,17,17,20,4
"Mujeres (008)",48,3,6,16,16,3,4
"Otro tipo (009)",187,,12,67,66,40,2
"Hombres (010)",137,,4,50,50,32,1
"Mujeres (011)",50,,8,17,16,8,1
,,,,,,,
"URBANA (012)",23482,433,7278,5957,5142,3393,1279
"Hombres (013)",12255,216,3779,2934,2742,1962,622
"Mujeres (014)",11227,217,3499,3023,2400,1431,657
"Viviendas particulares (015)",23181,429,7253,5857,5043,3330,1269
"Hombres (016)",12052,215,3768,2867,2675,1910,617
"Mujeres (017)",11129,214,3485,2990,2368,1420,652
"Viviendas colectivas (018)",114,4,13,33,33,23,8
"Hombres (019)",66,1,7,17,17,20,4
"Mujeres (020)",48,3,6,16,16,3,4
"Otro tipo (021)",187,,12,67,66,40,2
"Hombres (022)",137,,4,50,50,32,1
"Mujeres (023)",50,,8,17,16,8,1
,,,,,,,
"RURAL (024)",14239,355,5243,3846,2560,1670,565
"Hombres (025)",7746,176,2695,2110,1480,982,303
"Mujeres (026)",6493,179,2548,1736,1080,688,262
"Viviendas particulares (027)",14239,355,5243,3846,2560,1670,565
"Hombres (028)",7746,176,2695,2110,1480,982,303
"Mujeres (029)",6493,179,2548,1736,1080,688,262
