"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ATALAYA (000)",646,191,455
"De 14 a 29 años (001)",346,129,217
"De 30 a 44 años (002)",203,47,156
"De 45 a 64 años (003)",86,15,71
"De 65 y más años (004)",11,,11
"Hombres (005)",484,147,337
"De 14 a 29 años (006)",239,98,141
"De 30 a 44 años (007)",160,35,125
"De 45 a 64 años (008)",74,14,60
"De 65 y más años (009)",11,,11
"Mujeres (010)",162,44,118
"De 14 a 29 años (011)",107,31,76
"De 30 a 44 años (012)",43,12,31
"De 45 a 64 años (013)",12,1,11
,,,
"AREA URBANA (015)",261,63,198
"De 14 a 29 años (016)",132,45,87
"De 30 a 44 años (017)",80,14,66
"De 45 a 64 años (018)",38,4,34
"De 65 y más años (019)",11,,11
"Hombres (020)",200,48,152
"De 14 a 29 años (021)",94,35,59
"De 30 a 44 años (022)",61,10,51
"De 45 a 64 años (023)",34,3,31
"De 65 y más años (024)",11,,11
"Mujeres (025)",61,15,46
"De 14 a 29 años (026)",38,10,28
"De 30 a 44 años (027)",19,4,15
"De 45 a 64 años (028)",4,1,3
,,,
"AREA RURAL (030)",385,128,257
"De 14 a 29 años (031)",214,84,130
"De 30 a 44 años (032)",123,33,90
"De 45 a 64 años (033)",48,11,37
"Hombres (035)",284,99,185
"De 14 a 29 años (036)",145,63,82
"De 30 a 44 años (037)",99,25,74
"De 45 a 64 años (038)",40,11,29
"Mujeres (040)",101,29,72
"De 14 a 29 años (041)",69,21,48
"De 30 a 44 años (042)",24,8,16
"De 45 a 64 años (043)",8,,8
