"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TACNA (000)",261,250,11
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",179,179,
"Casa pensión (003)",7,6,1
"Hospital, clinica (004)",9,7,2
"Cárcel, centro de readaptación social (005)",4,4,
"Asilo (006)",2,2,
"Aldea infantil, orfelinato, etc (007)",8,8,
"Otro (008)",44,37,7
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,7,1
