"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONDESUYOS (000)",17949,4662,3739,675,9047
"Sin Nivel (001)",2572,1030,168,42,1336
"Educación Inicial (002)",400,255,68,4,75
"Primaria (003)",5973,2146,735,143,2959
"Secundaria (004)",5584,1056,1368,230,3016
"Sup. no Univ. Incompleta (005)",967,65,261,60,594
"Sup. no Univ. Completa (006)",1259,50,550,94,593
"Sup. Univ. Incompleta (007)",422,19,145,26,233
"Sup. Univ. Completa (008)",772,41,444,76,241
"Hombres (010)",9985,2186,2692,489,4776
"Sin Nivel (011)",810,397,60,14,342
"Educación Inicial (012)",188,113,28,3,44
"Primaria (013)",3067,1072,431,73,1496
"Secundaria (014)",3667,527,1125,193,1906
"Sup. no Univ. Incompleta (015)",590,23,199,48,333
"Sup. no Univ. Completa (016)",808,19,409,81,326
"Sup. Univ. Incompleta (017)",315,11,124,18,162
"Sup. Univ. Completa (018)",540,24,316,59,167
"Mujeres (020)",7964,2476,1047,186,4271
"Sin Nivel (021)",1762,633,108,28,994
"Educación Inicial (022)",212,142,40,1,31
"Primaria (023)",2906,1074,304,70,1463
"Secundaria (024)",1917,529,243,37,1110
"Sup. no Univ. Incompleta (025)",377,42,62,12,261
"Sup. no Univ. Completa (026)",451,31,141,13,267
"Sup. Univ. Incompleta (027)",107,8,21,8,71
"Sup. Univ. Completa (028)",232,17,128,17,74
,,,,,
"URBANA (030)",7347,1644,1903,400,3432
"Sin Nivel (031)",847,259,128,27,436
"Educación Inicial (032)",222,115,63,2,43
"Primaria (033)",2239,723,478,94,951
"Secundaria (034)",2284,457,614,122,1101
"Sup. no Univ. Incompleta (035)",490,36,102,26,326
"Sup. no Univ. Completa (036)",672,29,237,59,351
"Sup. Univ. Incompleta (037)",195,9,63,21,103
"Sup. Univ. Completa (038)",398,16,218,49,121
"Hombres (040)",3752,767,1057,261,1685
"Sin Nivel (041)",281,104,50,10,119
"Educación Inicial (042)",114,56,26,2,30
"Primaria (043)",1084,358,236,48,444
"Secundaria (044)",1325,220,407,90,616
"Sup. no Univ. Incompleta (045)",244,11,49,16,168
"Sup. no Univ. Completa (046)",354,10,128,49,170
"Sup. Univ. Incompleta (047)",121,3,43,13,62
"Sup. Univ. Completa (048)",229,5,118,33,76
"Mujeres (050)",3595,877,846,139,1747
"Sin Nivel (051)",566,155,78,17,317
"Educación Inicial (052)",108,59,37,,13
"Primaria (053)",1155,365,242,46,507
"Secundaria (054)",959,237,207,32,485
"Sup. no Univ. Incompleta (055)",246,25,53,10,158
"Sup. no Univ. Completa (056)",318,19,109,10,181
"Sup. Univ. Incompleta (057)",74,6,20,8,41
"Sup. Univ. Completa (058)",169,11,100,16,45
,,,,,
"RURAL (060)",10602,3018,1836,275,5615
"Sin Nivel (061)",1725,771,40,15,900
"Educación Inicial (062)",178,140,5,2,32
"Primaria (063)",3734,1423,257,49,2008
"Secundaria (064)",3300,599,754,108,1915
"Sup. no Univ. Incompleta (065)",477,29,159,34,268
"Sup. no Univ. Completa (066)",587,21,313,35,242
"Sup. Univ. Incompleta (067)",227,10,82,5,130
"Sup. Univ. Completa (068)",374,25,226,27,120
"Hombres (070)",6233,1419,1635,228,3091
"Sin Nivel (071)",529,293,10,4,223
"Educación Inicial (072)",74,57,2,1,14
"Primaria (073)",1983,714,195,25,1052
"Secundaria (074)",2342,307,718,103,1290
"Sup. no Univ. Incompleta (075)",346,12,150,32,165
"Sup. no Univ. Completa (076)",454,9,281,32,156
"Sup. Univ. Incompleta (077)",194,8,81,5,100
"Sup. Univ. Completa (078)",311,19,198,26,91
"Mujeres (080)",4369,1599,201,47,2524
"Sin Nivel (081)",1196,478,30,11,677
"Educación Inicial (082)",104,83,3,1,18
"Primaria (083)",1751,709,62,24,956
"Secundaria (084)",958,292,36,5,625
"Sup. no Univ. Incompleta (085)",131,17,9,2,103
"Sup. no Univ. Completa (086)",133,12,32,3,86
"Sup. Univ. Incompleta (087)",33,2,1,,30
"Sup. Univ. Completa (088)",63,6,28,1,29
