"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHUCUITO (000)",46602,44605,15855,5584,5684,4449,6396,3880,2757,1997
"Católica (001)",32600,31221,11238,3953,4003,3165,4414,2635,1813,1379
"Cristiana/Evangélica (002)",5891,5679,1745,617,727,565,898,619,508,212
"Otra (003)",6583,6262,2235,815,784,597,905,541,385,321
"Ninguna (004)",1528,1443,637,199,170,122,179,85,51,85
,,,,,,,,,,
"URBANA (006)",13002,12261,4787,1782,1773,1272,1454,762,431,741
"Católica (007)",9577,9049,3526,1334,1325,968,1053,551,292,528
"Cristiana/Evangélica (008)",1484,1392,498,173,206,144,178,115,78,92
"Otra (009)",1329,1246,512,189,177,108,151,65,44,83
"Ninguna (010)",612,574,251,86,65,52,72,31,17,38
,,,,,,,,,,
"RURAL (012)",33600,32344,11068,3802,3911,3177,4942,3118,2326,1256
"Católica (013)",23023,22172,7712,2619,2678,2197,3361,2084,1521,851
"Cristiana/Evangélica (014)",4407,4287,1247,444,521,421,720,504,430,120
"Otra (015)",5254,5016,1723,626,607,489,754,476,341,238
"Ninguna (016)",916,869,386,113,105,70,107,54,34,47
