"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia BOLIVAR",,,,,,,,,
"Viviendas particulares (001)",3727,19,3511,7,40,7,142,,1
"Ocupantes presentes (002)",16570,86,15608,34,196,31,609,,6
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3531,19,3353,4,32,6,116,,1
"Ocupantes presentes (005)",15700,86,14889,26,164,28,501,,6
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,,8,,,,,,
"Ocupantes presentes (011)",50,,50,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,,5,,,,,,
"Ocupantes presentes (014)",5,,5,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",180,,142,3,8,1,26,,
"Ocupantes presentes (017)",802,,651,8,32,3,108,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,,3,,,,,,
"Ocupantes presentes (023)",13,,13,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1347,11,1269,,,1,66,,
"Ocupantes presentes (029)",5674,49,5332,,,4,289,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1332,11,1254,,,1,66,,
"Ocupantes presentes (032)",5611,49,5269,,,4,289,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,,8,,,,,,
"Ocupantes presentes (038)",50,,50,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,,5,,,,,,
"Ocupantes presentes (041)",5,,5,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,2,,,,,,
"Ocupantes presentes (050)",8,,8,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2380,8,2242,7,40,6,76,,1
"Ocupantes presentes (056)",10896,37,10276,34,196,27,320,,6
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2199,8,2099,4,32,5,50,,1
"Ocupantes presentes (059)",10089,37,9620,26,164,24,212,,6
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",180,,142,3,8,1,26,,
"Ocupantes presentes (071)",802,,651,8,32,3,108,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,1,,,,,,
"Ocupantes presentes (077)",5,,5,,,,,,
"Otro tipo",,,,,,,,,
