"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia TRUJILLO (000)",540945,525478,15467
"Hombres (001)",255736,248996,6740
"Mujeres (002)",285209,276482,8727
"De 18 a 29 años (003)",188876,179214,9662
"Hombres (004)",91544,86670,4874
"Mujeres (005)",97332,92544,4788
"De 30 a 44 años (006)",167390,165692,1698
"Hombres (007)",78901,78117,784
"Mujeres (008)",88489,87575,914
"De 45 a 64 años (009)",130675,129360,1315
"Hombres (010)",60638,60182,456
"Mujeres (011)",70037,69178,859
"De 65 y más años (012)",54004,51212,2792
"Hombres (013)",24653,24027,626
"Mujeres (014)",29351,27185,2166
,,,
"URBANA (015)",528820,513966,14854
"Hombres (016)",249451,242990,6461
"Mujeres (017)",279369,270976,8393
"De 18 a 29 años (018)",184684,175384,9300
"Hombres (019)",89366,84685,4681
"Mujeres (020)",95318,90699,4619
"De 30 a 44 años (021)",163562,161927,1635
"Hombres (022)",76941,76182,759
"Mujeres (023)",86621,85745,876
"De 45 a 64 años (024)",127860,126609,1251
"Hombres (025)",59180,58738,442
"Mujeres (026)",68680,67871,809
"De 65 y más años (027)",52714,50046,2668
"Hombres (028)",23964,23385,579
"Mujeres (029)",28750,26661,2089
,,,
"RURAL (030)",12125,11512,613
"Hombres (031)",6285,6006,279
"Mujeres (032)",5840,5506,334
"De 18 a 29 años (033)",4192,3830,362
"Hombres (034)",2178,1985,193
"Mujeres (035)",2014,1845,169
"De 30 a 44 años (036)",3828,3765,63
"Hombres (037)",1960,1935,25
"Mujeres (038)",1868,1830,38
"De 45 a 64 años (039)",2815,2751,64
"Hombres (040)",1458,1444,14
"Mujeres (041)",1357,1307,50
"De 65 y más años (042)",1290,1166,124
"Hombres (043)",689,642,47
"Mujeres (044)",601,524,77
