"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUCUITO (000)",48074,624,16216,15557,11667,4010
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",62,,6,25,31,
"Profes., científicos e intelectuales (002)",1948,,399,976,545,28
"Técnicos de nivel medio y trab.asimilados (003)",490,,181,207,90,12
"Jefes y empleados de oficina (004)",579,,242,228,104,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4262,29,1650,1602,835,146
"Agricult.trabaj. calif. agrop. y pesqueros (006)",18018,45,3806,5527,5887,2753
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1721,10,691,608,349,63
"Obreros construc., conf., papel, fab., instr. (008)",3011,3,1096,1208,663,41
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",12729,453,5474,3620,2430,752
"Otra (010)",246,,72,135,39,
"Ocupación no especificada (011)",774,1,321,220,159,73
"Desocupado (012)",4234,83,2278,1201,535,137
"Hombres (013)",30248,352,9633,10033,7569,2661
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",53,,4,22,27,
"Profes., científicos e intelectuales (015)",1439,,256,696,463,24
"Técnicos de nivel medio y trab.asimilados (016)",334,,116,143,67,8
"Jefes y empleados de oficina (017)",407,,136,178,89,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1505,19,507,590,318,71
"Agricult.trabaj. calif. agrop. y pesqueros (019)",13248,24,2627,4148,4377,2072
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",971,7,404,348,173,39
"Obreros construc., conf., papel, fab., instr. (021)",2945,3,1073,1181,648,40
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",5652,253,2731,1555,859,254
"Otra (023)",244,,72,133,39,
"Ocupación no especificada (024)",366,1,172,99,67,27
"Desocupado (025)",3084,45,1535,940,442,122
"Mujeres (026)",17826,272,6583,5524,4098,1349
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,,2,3,4,
"Profes., científicos e intelectuales (028)",509,,143,280,82,4
"Técnicos de nivel medio y trab.asimilados (029)",156,,65,64,23,4
"Jefes y empleados de oficina (030)",172,,106,50,15,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2757,10,1143,1012,517,75
"Agricult.trabaj. calif. agrop. y pesqueros (032)",4770,21,1179,1379,1510,681
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",750,3,287,260,176,24
