"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia UTCUBAMBA (000)",38,37,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",16,16,
"Casa pensión (003)",7,7,
"Hospital, clinica (004)",2,2,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",10,9,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",2,2,
