"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SECHURA (000)",22003,60497,51889,,1492,85.8,2.5
"De 12 a 14 años (001)",2088,2,2,,,100,
"De 15 a 19 años (002)",3259,563,546,170,97,30.2,
"De 20 a 24 años (003)",3268,2993,2905,425,97.1,14.2,
"De 25 a 29 años (004)",2669,4815,4664,393,96.9,8.2,
"De 30 a 34 años (005)",2149,5963,5659,272,94.9,4.6,
"De 35 a 39 años (006)",1921,6927,6369,167,91.9,2.4,
"De 40 a 44 años (007)",1509,6483,5844,59,90.1,0.9,
"De 45 a 49 años (008)",1297,6452,5521,6,85.6,0.1,
"De 50 y más años (009)",3843,26299,20379,,77.5,,
"PEA (010)",5399,12720,11348,224,89.2,1.8,
"De 12 a 14 años (011)",144,,,,,,
"De 15 a 19 años (012)",657,67,66,9,98.5,13.4,
"De 20 a 24 años (013)",901,486,467,49,96.1,10.1,
"De 25 a 29 años (014)",791,1008,989,64,98.1,6.3,
"De 30 a 34 años (015)",660,1507,1436,54,95.3,3.6,
"De 35 a 39 años (016)",630,1913,1795,34,93.8,1.8,
"De 40 a 44 años (017)",484,1848,1691,12,91.5,0.6,
"De 45 a 49 años (018)",398,1733,1505,2,86.8,0.1,
"De 50 y más años (019)",734,4158,3399,,81.7,,
"Ocupada (020)",5250,12571,11208,220,89.2,1.8,
"De 12 a 14 años (021)",135,,,,,,
"De 15 a 19 años (022)",627,66,65,9,98.5,13.6,
"De 20 a 24 años (023)",858,472,453,47,96,10,
"De 25 a 29 años (024)",767,990,971,63,98.1,6.4,
"De 30 a 34 años (025)",648,1484,1413,53,95.2,3.6,
"De 35 a 39 años (026)",615,1880,1762,34,93.7,1.8,
"De 40 a 44 años (027)",478,1830,1675,12,91.5,0.7,
"De 45 a 49 años (028)",393,1716,1491,2,86.9,0.1,
"De 50 y más años (029)",729,4133,3378,,81.7,,
"Desocupada (030)",149,149,140,4,94,2.7,
"De 12 a 14 años (031)",9,,,,,,
"De 15 a 19 años (032)",30,1,1,,100,,
"De 20 a 24 años (033)",43,14,14,2,100,14.3,
"De 25 a 29 años (034)",24,18,18,1,100,5.6,
"De 30 a 34 años (035)",12,23,23,1,100,4.3,
"De 35 a 39 años (036)",15,33,33,,100,,
"De 40 a 44 años (037)",6,18,16,,88.9,,
