"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANDIA (000)",62147,19772,2462,526,39420
"Menos de 1 año (001)",1160,808,38,17,297
"De 1 a 14 años (002)",20071,12018,771,231,7068
"De 15 a 29 años (003)",16632,3249,370,111,12908
"De 30 a 44 años (004)",12479,1805,815,94,9773
"De 45 a 64 años (005)",8422,1284,399,54,6687
"De 65 y mas años (006)",3383,608,69,19,2687
"Hombres (008)",33265,9732,1345,290,21916
"Menos de 1 año (009)",585,404,23,6,152
"De 1 a 14 años (010)",10265,6164,387,108,3614
"De 15 a 29 años (011)",8865,1417,188,67,7196
"De 30 a 44 años (012)",6821,780,443,59,5545
"De 45 a 64 años (013)",4808,640,264,38,3867
"De 65 y mas años (014)",1921,327,40,12,1542
"Mujeres (016)",28882,10040,1117,236,17504
"Menos de 1 año (017)",575,404,15,11,145
"De 1 a 14 años (018)",9806,5854,384,123,3454
"De 15 a 29 años (019)",7767,1832,182,44,5712
"De 30 a 44 años (020)",5658,1025,372,35,4228
"De 45 a 64 años (021)",3614,644,135,16,2820
"De 65 y mas años (022)",1462,281,29,7,1145
,,,,,
"URBANA (024)",16543,4691,1554,204,10102
"Menos de 1 año (025)",295,196,23,2,74
"De 1 a 14 años (026)",5476,2952,463,67,1997
"De 15 a 29 años (027)",4439,839,220,47,3334
"De 30 a 44 años (028)",3424,346,521,49,2511
"De 45 a 64 años (029)",2084,241,276,30,1538
"De 65 y mas años (030)",825,117,51,9,648
"Hombres (032)",8258,2242,789,122,5110
"Menos de 1 año (033)",162,101,15,1,45
"De 1 a 14 años (034)",2706,1468,219,27,993
"De 15 a 29 años (035)",2186,364,103,33,1686
"De 30 a 44 años (036)",1675,134,253,33,1258
"De 45 a 64 años (037)",1103,111,173,22,798
"De 65 y mas años (038)",426,64,26,6,330
"Mujeres (040)",8285,2449,765,82,4992
"Menos de 1 año (041)",133,95,8,1,29
"De 1 a 14 años (042)",2770,1484,244,40,1004
"De 15 a 29 años (043)",2253,475,117,14,1648
"De 30 a 44 años (044)",1749,212,268,16,1253
"De 45 a 64 años (045)",981,130,103,8,740
"De 65 y mas años (046)",399,53,25,3,318
,,,,,
"RURAL (048)",45604,15081,908,322,29318
"Menos de 1 año (049)",865,612,15,15,223
"De 1 a 14 años (050)",14595,9066,308,164,5071
"De 15 a 29 años (051)",12193,2410,150,64,9574
"De 30 a 44 años (052)",9055,1459,294,45,7262
"De 45 a 64 años (053)",6338,1043,123,24,5149
"De 65 y mas años (054)",2558,491,18,10,2039
"Hombres (056)",25007,7490,556,168,16806
"Menos de 1 año (057)",423,303,8,5,107
"De 1 a 14 años (058)",7559,4696,168,81,2621
"De 15 a 29 años (059)",6679,1053,85,34,5510
"De 30 a 44 años (060)",5146,646,190,26,4287
"De 45 a 64 años (061)",3705,529,91,16,3069
"De 65 y mas años (062)",1495,263,14,6,1212
"Mujeres (064)",20597,7591,352,154,12512
"Menos de 1 año (065)",442,309,7,10,116
"De 1 a 14 años (066)",7036,4370,140,83,2450
"De 15 a 29 años (067)",5514,1357,65,30,4064
"De 30 a 44 años (068)",3909,813,104,19,2975
"De 45 a 64 años (069)",2633,514,32,8,2080
"De 65 y mas años (070)",1063,228,4,4,827
