"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OXAPAMPA (000)",2482,2396,86
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",620,619,1
"Casa pensión (003)",108,107,1
"Hospital, clinica (004)",81,77,4
"Cárcel, centro de readaptación social (005)",28,28,
"Aldea infantil, orfelinato, etc (007)",64,9,55
"Otro (008)",665,640,25
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",916,916,
