"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO",,,,,,,,,
"Viviendas particulares (001)",1571,13,30,163,95,27,7,60,1176
"Ocupantes presentes (002)",4988,51,64,444,303,73,36,196,3821
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1457,9,28,163,89,27,6,58,1077
"Ocupantes presentes (005)",4695,33,58,444,288,73,33,192,3574
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,,,,,,,,3
"Ocupantes presentes (008)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",6,,,,,,,,6
"Ocupantes presentes (011)",7,,,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",96,4,2,,5,,1,2,82
"Ocupantes presentes (014)",268,18,6,,11,,3,4,226
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",5,,,,,,,,5
"Ocupantes presentes (017)",6,,,,,,,,6
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,,,,1,,,,3
"Ocupantes presentes (023)",7,,,,4,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",986,9,13,148,39,13,6,45,713
"Ocupantes presentes (029)",3050,31,24,399,106,32,31,159,2268
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",878,5,11,148,34,13,5,43,619
"Ocupantes presentes (032)",2767,13,18,399,95,32,28,155,2027
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,,,,,,,,3
"Ocupantes presentes (035)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",6,,,,,,,,6
"Ocupantes presentes (038)",7,,,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",96,4,2,,5,,1,2,82
"Ocupantes presentes (041)",268,18,6,,11,,3,4,226
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,,,,,,,,3
"Ocupantes presentes (050)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",585,4,17,15,56,14,1,15,463
"Ocupantes presentes (056)",1938,20,40,45,197,41,5,37,1553
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",579,4,17,15,55,14,1,15,458
"Ocupantes presentes (059)",1928,20,40,45,193,41,5,37,1547
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",5,,,,,,,,5
"Ocupantes presentes (071)",6,,,,,,,,6
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,1,,,,
"Ocupantes presentes (077)",4,,,,4,,,,
"Otro tipo",,,,,,,,,
