"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SANDIA (000)",45521,7281,8802,9619,8014,5270,6535
"Católica (001)",36079,5848,6918,7529,6406,4143,5235
"Cristiana/Evangélica (002)",3114,441,595,682,548,404,444
"Otra (003)",4944,736,969,1070,854,595,720
"Ninguna (004)",1384,256,320,338,206,128,136
"Hombres (006)",24770,3775,4692,5202,4372,3024,3705
"Católica (007)",19551,3015,3690,4033,3485,2386,2942
"Cristiana/Evangélica (008)",1721,248,310,376,296,226,265
"Otra (009)",2641,368,486,581,459,329,418
"Ninguna (010)",857,144,206,212,132,83,80
"Mujeres (012)",20751,3506,4110,4417,3642,2246,2830
"Católica (013)",16528,2833,3228,3496,2921,1757,2293
"Cristiana/Evangélica (014)",1393,193,285,306,252,178,179
"Otra (015)",2303,368,483,489,395,266,302
"Ninguna (016)",527,112,114,126,74,45,56
,,,,,,,
"URBANA (018)",12192,2343,2207,2477,2256,1322,1587
"Católica (019)",10238,1970,1851,2082,1904,1119,1312
"Cristiana/Evangélica (020)",541,103,99,110,85,69,75
"Otra (021)",1043,188,168,207,210,109,161
"Ninguna (022)",370,82,89,78,57,25,39
"Hombres (024)",6121,1201,1088,1180,1123,701,828
"Católica (025)",5102,1001,911,986,930,599,675
"Cristiana/Evangélica (026)",303,68,45,60,51,35,44
"Otra (027)",497,85,77,89,109,51,86
"Ninguna (028)",219,47,55,45,33,16,23
"Mujeres (030)",6071,1142,1119,1297,1133,621,759
"Católica (031)",5136,969,940,1096,974,520,637
"Cristiana/Evangélica (032)",238,35,54,50,34,34,31
"Otra (033)",546,103,91,118,101,58,75
"Ninguna (034)",151,35,34,33,24,9,16
,,,,,,,
"RURAL (036)",33329,4938,6595,7142,5758,3948,4948
"Católica (037)",25841,3878,5067,5447,4502,3024,3923
"Cristiana/Evangélica (038)",2573,338,496,572,463,335,369
"Otra (039)",3901,548,801,863,644,486,559
"Ninguna (040)",1014,174,231,260,149,103,97
"Hombres (042)",18649,2574,3604,4022,3249,2323,2877
"Católica (043)",14449,2014,2779,3047,2555,1787,2267
"Cristiana/Evangélica (044)",1418,180,265,316,245,191,221
"Otra (045)",2144,283,409,492,350,278,332
"Ninguna (046)",638,97,151,167,99,67,57
"Mujeres (048)",14680,2364,2991,3120,2509,1625,2071
"Católica (049)",11392,1864,2288,2400,1947,1237,1656
"Cristiana/Evangélica (050)",1155,158,231,256,218,144,148
"Otra (051)",1757,265,392,371,294,208,227
"Ninguna (052)",376,77,80,93,50,36,40
