"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANDARAVE (000)",205,31,174
"De 14 a 29 años (001)",84,18,66
"De 30 a 44 años (002)",65,9,56
"De 45 a 64 años (003)",48,4,44
"De 65 y más años (004)",8,,8
"Hombres (005)",168,22,146
"De 14 a 29 años (006)",69,14,55
"De 30 a 44 años (007)",52,6,46
"De 45 a 64 años (008)",40,2,38
"De 65 y más años (009)",7,,7
"Mujeres (010)",37,9,28
"De 14 a 29 años (011)",15,4,11
"De 30 a 44 años (012)",13,3,10
"De 45 a 64 años (013)",8,2,6
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",164,26,138
"De 14 a 29 años (016)",61,13,48
"De 30 a 44 años (017)",55,9,46
"De 45 a 64 años (018)",43,4,39
"De 65 y más años (019)",5,,5
"Hombres (020)",130,17,113
"De 14 a 29 años (021)",48,9,39
"De 30 a 44 años (022)",43,6,37
"De 45 a 64 años (023)",35,2,33
"De 65 y más años (024)",4,,4
"Mujeres (025)",34,9,25
"De 14 a 29 años (026)",13,4,9
"De 30 a 44 años (027)",12,3,9
"De 45 a 64 años (028)",8,2,6
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",41,5,36
"De 14 a 29 años (031)",23,5,18
"De 30 a 44 años (032)",10,,10
"De 45 a 64 años (033)",5,,5
"De 65 y más años (034)",3,,3
"Hombres (035)",38,5,33
"De 14 a 29 años (036)",21,5,16
"De 30 a 44 años (037)",9,,9
"De 45 a 64 años (038)",5,,5
"De 65 y más años (039)",3,,3
"Mujeres (040)",3,,3
"De 14 a 29 años (041)",2,,2
"De 30 a 44 años (042)",1,,1
