"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia CAJATAMBO",,,,,,,,,
"Viviendas particulares (001)",2464,72,2161,2,23,13,190,,3
"Ocupantes presentes (002)",8145,207,7178,5,71,39,635,,10
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2251,69,2072,2,21,11,74,,2
"Ocupantes presentes (005)",7441,198,6857,5,65,34,273,,9
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1,1,,,,,,,
"Ocupantes presentes (008)",5,5,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",11,,11,,,,,,
"Ocupantes presentes (011)",32,,32,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",48,,48,,,,,,
"Ocupantes presentes (014)",201,,201,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",142,,22,,2,1,116,,1
"Ocupantes presentes (017)",441,,68,,6,4,362,,1
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,1,,,
"Ocupantes presentes (020)",1,,,,,1,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",10,2,8,,,,,,
"Ocupantes presentes (023)",24,4,20,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1475,60,1366,1,9,3,34,,2
"Ocupantes presentes (029)",4977,170,4616,1,31,12,138,,9
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1407,58,1301,1,9,2,34,,2
"Ocupantes presentes (032)",4718,162,4366,1,31,11,138,,9
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1,1,,,,,,,
"Ocupantes presentes (035)",5,5,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",11,,11,,,,,,
"Ocupantes presentes (038)",32,,32,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",48,,48,,,,,,
"Ocupantes presentes (041)",201,,201,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,1,,,
"Ocupantes presentes (047)",1,,,,,1,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,1,6,,,,,,
"Ocupantes presentes (050)",20,3,17,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",989,12,795,1,14,10,156,,1
"Ocupantes presentes (056)",3168,37,2562,4,40,27,497,,1
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",844,11,771,1,12,9,40,,
"Ocupantes presentes (059)",2723,36,2491,4,34,23,135,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",142,,22,,2,1,116,,1
"Ocupantes presentes (071)",441,,68,,6,4,362,,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,1,2,,,,,,
"Ocupantes presentes (077)",4,1,3,,,,,,
"Otro tipo",,,,,,,,,
